Milliseconds,X,Y,Z
1,8.734717,1.0306494,4.3373585
101,8.735856,1.0261133,4.336145
202,8.737604,1.0278292,4.332216
301,8.737122,1.0260019,4.3336267
401,8.736759,1.0301479,4.3333755
502,8.735959,1.025629,4.336043
602,8.735274,1.0271418,4.3370657
701,8.735755,1.02574,4.336431
801,8.735163,1.0284578,4.3369746
901,8.736003,1.0235817,4.336442
1002,8.73546,1.0250343,4.3371882
1101,8.735068,1.0269693,4.3375278
1201,8.734663,1.0259464,4.338571
1301,8.732944,1.0293639,4.3412294
1401,8.73454,1.0271862,4.338552
1501,8.734199,1.027232,4.339214
1602,8.734245,1.0269763,4.3391814
1701,8.734365,1.0311548,4.337943
1801,8.735616,1.0325255,4.335112
1901,8.736716,1.0325834,4.3328824
2001,8.73763,1.031236,4.331354
2102,8.737019,1.0349063,4.3316994
2201,8.735619,1.0395573,4.3334246
2301,8.737199,1.0410607,4.329867
2402,8.735756,1.0445734,4.3319387
2501,8.735347,1.0474279,4.332063
2601,8.73473,1.047679,4.3332515
2701,8.736919,1.045715,4.3293104
2801,8.736963,1.046804,4.328954
2901,8.737705,1.0516475,4.326286
3002,8.737107,1.0567089,4.326255
3101,8.737423,1.0601672,4.3247914
3201,8.734714,1.0617492,4.329855
3301,8.73693,1.0585171,4.3261824
3401,8.739304,1.0551271,4.3222046
3502,8.74037,1.0520228,4.320809
3601,8.741653,1.0536101,4.317822
3701,8.742527,1.0519872,4.3164496
3802,8.744075,1.0483049,4.3142047
3901,8.743553,1.0491347,4.3150516
4001,8.745246,1.0507301,4.311241
4101,8.745726,1.0529373,4.309739
4201,8.744481,1.0554817,4.3116374
4302,8.745663,1.0537401,4.3096676
4401,8.744225,1.056118,4.3119907
4501,8.74448,1.0536004,4.3120914
4602,8.746455,1.0550591,4.3077307
4701,8.746845,1.0535382,4.3073106
4801,8.747873,1.0553008,4.3047924
4901,8.751091,1.0525749,4.298915
5001,8.749513,1.0492849,4.3029423
5102,8.746875,1.0477114,4.308681
5201,8.745884,1.0481141,4.3105946
5301,8.744774,1.0468892,4.3131375
5401,8.744433,1.0442425,4.314463
5501,8.742161,1.045134,4.3188515
5602,8.744019,1.0431688,4.315574
5701,8.7445755,1.0415312,4.314826
5802,8.74753,1.0355493,4.310296
5901,8.746689,1.0335692,4.312468
6001,8.748279,1.02867,4.310408
6101,8.747645,1.0278,4.311899
6201,8.746413,1.0327196,4.3132296
6302,8.7472315,1.03793,4.3103113
6401,8.747345,1.0362501,4.310497
6502,8.74849,1.0393182,4.307427
6601,8.749991,1.0415684,4.3038282
6701,8.749673,1.043566,4.3039985
6802,8.75228,1.0422618,4.299005
7060,8.7512865,1.0444939,4.3004885
7060,8.7512865,1.0444939,4.3004885
7102,8.751628,1.0441747,4.299881
7201,8.749999,1.0409842,4.3039513
7301,8.750727,1.039647,4.3028045
7402,8.74997,1.0380112,4.3047266
7503,8.74969,1.0356977,4.305868
7601,8.750372,1.0376748,4.303995
7701,8.7509,1.0364362,4.3032255
7801,8.748456,1.0413226,4.3070097
7901,8.749056,1.0350331,4.307314
8002,8.751128,1.0352604,4.3030405
8101,8.7503,1.0343138,4.3049536
8201,8.750428,1.030385,4.3056474
8301,8.75104,1.0311837,4.3041983
8401,8.750984,1.0358821,4.303191
8502,8.753723,1.0366935,4.297402
8601,8.7554245,1.0363834,4.2940383
8701,8.755641,1.0383337,4.293099
8801,8.755442,1.0400631,4.293104
8902,8.755043,1.0386055,4.294261
9001,8.756075,1.036779,4.2926083
9102,8.755372,1.0402786,4.293187
9201,8.7563305,1.0377563,4.29185
9301,8.756954,1.039384,4.2901907
9402,8.757019,1.0371157,4.290589
9501,8.758666,1.0450696,4.2852945
9601,8.761122,1.046324,4.27998
9701,8.760423,1.0460551,4.2814593
9801,8.759492,1.0477388,4.2829566
9901,8.758192,1.0507418,4.2848716
10002,8.757137,1.0508888,4.286993
10101,8.755779,1.0479584,4.2904844
10201,8.756511,1.0448948,4.2897577
10301,8.754235,1.048722,4.293441
10402,8.754384,1.0469167,4.2935944
10501,8.754709,1.0449983,4.2933936
10601,8.755543,1.0449016,4.2917166
10701,8.75492,1.0442232,4.293142
10801,8.75509,1.0419393,4.2933507
10901,8.754555,1.0442715,4.293885
11002,8.753823,1.0401132,4.296374
11101,8.754129,1.0449761,4.294576
11201,8.754373,1.0451345,4.294059
11301,8.756133,1.0417188,4.291297
11402,8.7575865,1.037622,4.289327
11501,8.758186,1.0394036,4.2876544
11601,8.759928,1.0362167,4.2848706
11702,8.759036,1.0320023,4.2877097
11802,8.760752,1.0308046,4.2844944
11901,8.760896,1.0289514,4.284639
12002,8.761995,1.0290663,4.2823563
12101,8.762184,1.0283067,4.2821693
12201,8.761701,1.029249,4.2829237
12301,8.76308,1.0308064,4.279732
12401,8.760825,1.0333534,4.2837276
12501,8.76026,1.0334187,4.2848563
12602,8.76009,1.0396496,4.283704
12701,8.75854,1.0429165,4.2860727
12801,8.759018,1.0440025,4.284852
12902,8.76093,1.0447537,4.280749
13001,8.760824,1.0472159,4.2803516
13101,8.760512,1.0438076,4.2818236
13201,8.761354,1.0442952,4.279998
13301,8.761255,1.0452982,4.2799478
13402,8.759057,1.0440047,4.2847514
13501,8.758074,1.0408912,4.287516
13601,8.757252,1.0397291,4.289484
13702,8.756559,1.0365958,4.291651
13801,8.758763,1.0334172,4.287929
13902,8.759232,1.0310724,4.2875338
14002,8.758473,1.0338026,4.288424
14101,8.758708,1.0324869,4.2882743
14202,8.760793,1.0304329,4.2845035
14301,8.762624,1.0348974,4.279677
14401,8.76324,1.0380799,4.277649
