Milliseconds,Illuminance
1,616.0
100,616.0
201,616.0
300,616.0
401,616.0
501,616.0
600,620.0
700,620.0
801,623.0
901,623.0
1000,625.0
1100,624.0
1200,624.0
1300,622.0
1400,622.0
1500,624.0
1601,624.0
1700,624.0
1800,624.0
1900,624.0
2001,624.0
2100,624.0
2200,621.0
2300,621.0
2400,624.0
2501,624.0
2600,616.0
2700,616.0
2800,595.0
2900,597.0
3001,597.0
3100,611.0
3200,611.0
3300,610.0
3400,610.0
3500,613.0
3601,613.0
3700,612.0
3800,614.0
3900,614.0
4000,616.0
4100,616.0
4201,614.0
4300,614.0
4400,612.0
4500,612.0
4601,612.0
4700,612.0
4800,612.0
4900,604.0
5000,604.0
5100,564.0
5200,564.0
5301,584.0
5400,584.0
5500,607.0
5600,610.0
5700,610.0
5801,612.0
5900,612.0
6000,614.0
6100,614.0
6200,615.0
6301,615.0
6401,607.0
6500,609.0
6600,609.0
6701,611.0
6801,611.0
7051,614.0
7051,614.0
7100,587.0
7201,587.0
7300,606.0
7401,613.0
7502,613.0
7600,607.0
7700,607.0
7800,593.0
7901,593.0
8000,588.0
8101,588.0
8200,590.0
8300,600.0
8400,600.0
8500,600.0
8601,600.0
8700,590.0
8800,590.0
8900,579.0
9001,579.0
9100,576.0
9201,579.0
9300,579.0
9400,573.0
9501,573.0
9600,570.0
9700,570.0
9800,576.0
9900,576.0
10000,579.0
10101,578.0
10200,578.0
10300,588.0
10400,588.0
10500,597.0
10601,597.0
10700,606.0
10800,606.0
10900,609.0
11000,632.0
11101,632.0
11200,647.0
11300,647.0
11401,651.0
11500,651.0
11600,621.0
11702,621.0
11801,588.0
11900,616.0
12000,616.0
12100,663.0
12200,663.0
12301,656.0
12400,656.0
12500,632.0
12600,632.0
12701,616.0
12800,616.0
12900,615.0
13000,609.0
13101,609.0
13200,599.0
13300,599.0
13401,595.0
13500,595.0
13600,597.0
13701,597.0
13800,613.0
13901,611.0
14000,611.0
14101,607.0
14200,607.0
14300,614.0
14400,614.0
14501,631.0
14600,639.0
14701,639.0
14800,641.0
14900,641.0
15001,643.0
15100,643.0
15200,637.0
15300,637.0
15401,644.0
15501,641.0
15600,641.0
15700,641.0
15801,641.0
15901,641.0
16002,641.0
16100,639.0
16200,639.0
16304,641.0
16401,641.0
16500,641.0
16601,646.0
16700,646.0
16800,641.0
16900,641.0
17000,628.0
17101,628.0
17200,624.0
17300,624.0
17401,639.0
17500,638.0
17600,638.0
17700,641.0
17801,641.0
17900,641.0
18000,641.0
18100,643.0
18201,643.0
18300,644.0
18400,646.0
18501,646.0
18600,646.0
18702,646.0
18800,645.0
18901,645.0
19001,642.0
19100,642.0
19201,628.0
19300,606.0
19400,606.0
19500,583.0
19600,583.0
19700,554.0
19801,554.0
19900,538.0
20000,538.0
20101,535.0
20200,556.0
20300,556.0
20403,576.0
20500,576.0
20600,587.0
20701,587.0
20800,584.0
20900,584.0
21000,560.0
21100,546.0
21200,546.0
21301,547.0
21400,547.0
21500,562.0
21600,562.0
21700,590.0
21801,590.0
21900,614.0
22000,622.0
22100,622.0
22201,624.0
