Milliseconds,X,Y,Z,cos,headingAccuracy
11,0.176347,0.189843,0.735055,0.626541,246.0
100,0.176205,0.189839,0.735056,0.626582,246.0
200,0.176315,0.189736,0.735129,0.626496,246.0
300,0.175788,0.189621,0.73546,0.62629,246.0
400,0.175376,0.189527,0.736142,0.625633,246.0
501,0.175501,0.189702,0.736307,0.625351,246.0
600,0.175503,0.189444,0.736573,0.625115,246.0
700,0.17551,0.189296,0.736853,0.624827,246.0
800,0.175496,0.189272,0.736969,0.624702,246.0
901,0.175508,0.189229,0.736637,0.625103,246.0
1000,0.175573,0.189554,0.736409,0.625255,246.0
1100,0.17555,0.189539,0.736274,0.625425,246.0
1200,0.175464,0.189511,0.736436,0.625266,246.0
1301,0.175375,0.189282,0.73659,0.62518,246.0
1400,0.175498,0.189171,0.736717,0.625029,246.0
1500,0.175684,0.189195,0.736715,0.624972,246.0
1600,0.175577,0.189056,0.73675,0.625003,246.0
1701,0.175681,0.189142,0.736693,0.625015,246.0
1800,0.175516,0.189123,0.736498,0.625297,246.0
1901,0.17529,0.189174,0.736623,0.625197,246.0
2000,0.17507,0.189323,0.736949,0.624829,246.0
2100,0.174945,0.189238,0.737291,0.624486,246.0
2201,0.174957,0.189204,0.737353,0.624421,246.0
2300,0.175089,0.189024,0.737452,0.624321,246.0
2400,0.175167,0.189052,0.737463,0.624278,246.0
2500,0.175352,0.189025,0.737321,0.624402,246.0
2600,0.175367,0.189267,0.73706,0.624632,246.0
2701,0.175508,0.189345,0.736885,0.624775,246.0
2800,0.175725,0.189376,0.736762,0.62485,246.0
2900,0.175622,0.189422,0.736549,0.625116,246.0
3000,0.175837,0.189421,0.736335,0.625308,246.0
3100,0.176163,0.189119,0.736313,0.625334,246.0
3201,0.176479,0.189024,0.736139,0.625478,246.0
3300,0.176717,0.188856,0.735925,0.625713,246.0
3400,0.176928,0.18885,0.735649,0.62598,246.0
3501,0.176808,0.188903,0.735674,0.625969,246.0
3600,0.176723,0.188888,0.735687,0.625982,246.0
3700,0.17645,0.188873,0.736026,0.625664,246.0
3800,0.176232,0.188817,0.735938,0.625847,246.0
3901,0.176417,0.188805,0.736293,0.62538,246.0
4000,0.176617,0.188643,0.736205,0.625477,246.0
4100,0.176735,0.188485,0.735969,0.625769,246.0
4200,0.176711,0.188511,0.736111,0.6256,246.0
4300,0.176563,0.188532,0.736218,0.62551,246.0
4400,0.176392,0.188633,0.736441,0.625265,246.0
4501,0.176297,0.188682,0.736366,0.625366,246.0
4600,0.176441,0.188995,0.736091,0.625555,246.0
4700,0.176648,0.189196,0.735805,0.625771,246.0
4800,0.17677,0.189122,0.73558,0.626024,246.0
4901,0.17684,0.189174,0.735525,0.626052,246.0
5000,0.17714,0.188921,0.735515,0.626057,246.0
5100,0.177134,0.188796,0.735444,0.626179,246.0
5201,0.177192,0.1889,0.735267,0.626339,246.0
5300,0.177398,0.188827,0.735167,0.62642,246.0
5400,0.177462,0.188753,0.735211,0.626373,246.0
5500,0.177513,0.188705,0.735448,0.626094,246.0
5601,0.177522,0.188882,0.735125,0.626418,246.0
5700,0.177655,0.189015,0.734737,0.626795,246.0
5801,0.177487,0.189105,0.734675,0.626888,246.0
5900,0.177717,0.189121,0.734577,0.626932,246.0
6000,0.177906,0.189186,0.734543,0.626899,246.0
6100,0.178334,0.188948,0.734172,0.627285,246.0
6201,0.178474,0.188823,0.734061,0.627411,246.0
6300,0.178515,0.188585,0.734145,0.627374,246.0
6400,0.178398,0.188427,0.734031,0.627587,246.0
6500,0.178226,0.188474,0.734374,0.627221,246.0
6600,0.178155,0.188504,0.734464,0.627127,246.0
6700,0.178306,0.188488,0.734213,0.627382,246.0
6801,0.178442,0.188686,0.733987,0.627549,246.0
6900,0.178441,0.188834,0.733888,0.627621,246.0
7000,0.178211,0.189047,0.733655,0.627893,246.0
7100,0.177907,0.189109,0.733863,0.627718,246.0
7200,0.1779,0.188986,0.734066,0.62752,246.0
7300,0.177766,0.189028,0.734197,0.627393,246.0
7400,0.177774,0.18883,0.73435,0.62727,246.0
7500,0.177693,0.188853,0.734248,0.627405,246.0
7600,0.17771,0.188808,0.734723,0.626858,246.0
7700,0.177556,0.188797,0.734728,0.626899,246.0
7800,0.177566,0.188807,0.734756,0.626861,246.0
7901,0.177556,0.189027,0.734612,0.626966,246.0
8000,0.177593,0.189148,0.734512,0.627036,246.0
8100,0.177436,0.189255,0.734376,0.627207,246.0
8200,0.177571,0.189277,0.734514,0.627001,246.0
8300,0.177624,0.189149,0.734422,0.627132,246.0
8401,0.177669,0.188863,0.734472,0.627147,246.0
8500,0.17758,0.188929,0.734511,0.627107,246.0
