Milliseconds,Illuminance
15,1374.0
103,1382.0
202,1382.0
302,1389.0
402,1389.0
502,1382.0
602,1382.0
706,1391.0
803,1391.0
902,1380.0
1002,1380.0
1102,1387.0
1202,1387.0
1303,1387.0
1402,1387.0
1502,1387.0
1602,1387.0
1702,1387.0
1803,1387.0
1902,1387.0
2002,1380.0
2102,1380.0
2202,1380.0
2303,1374.0
2402,1374.0
2502,1374.0
2602,1374.0
2703,1374.0
2802,1374.0
2902,1367.0
3002,1374.0
3102,1374.0
3203,1367.0
3302,1367.0
3402,1374.0
3502,1374.0
3602,1374.0
3703,1374.0
3802,1382.0
3902,1374.0
4002,1374.0
4103,1369.0
4202,1369.0
4302,1362.0
4402,1362.0
4503,1362.0
4602,1362.0
4702,1364.0
4802,1362.0
4903,1362.0
5002,1369.0
5102,1369.0
5202,1378.0
5302,1378.0
5403,1378.0
5502,1378.0
5602,1375.0
5702,1375.0
5802,1375.0
5903,1373.0
6002,1373.0
6102,1369.0
6203,1369.0
6302,1367.0
6402,1367.0
6502,1374.0
6602,1367.0
6703,1367.0
6802,1369.0
6902,1369.0
7002,1371.0
7102,1371.0
7202,1367.0
7303,1367.0
7402,1376.0
7502,1376.0
7602,1376.0
7702,1376.0
7803,1376.0
7902,1376.0
8002,1376.0
8102,1374.0
8202,1374.0
8303,1375.0
8402,1374.0
8502,1374.0
8602,1374.0
8702,1374.0
8802,1374.0
8903,1374.0
9002,1374.0
9102,1374.0
9202,1374.0
9302,1376.0
9403,1376.0
9502,1374.0
9602,1374.0
9702,1374.0
9802,1374.0
9903,1367.0
10002,1367.0
10102,1367.0
10202,1367.0
10302,1367.0
10402,1365.0
10502,1365.0
10602,1369.0
10702,1369.0
10802,1380.0
10902,1380.0
11002,1382.0
11102,1369.0
11202,1369.0
11303,1369.0
11402,1369.0
11502,1375.0
11602,1375.0
11702,1378.0
11803,1378.0
11902,1378.0
12002,1367.0
12102,1367.0
12202,1375.0
12302,1375.0
12403,1367.0
12502,1367.0
12602,1367.0
12703,1367.0
12802,1360.0
12902,1367.0
13002,1367.0
13104,1367.0
13202,1367.0
13302,1369.0
13402,1369.0
13502,1375.0
13602,1375.0
13702,1369.0
13802,1375.0
13902,1375.0
14002,1367.0
14103,1367.0
14202,1367.0
14302,1367.0
14402,1360.0
14502,1360.0
14602,1362.0
14702,1362.0
14802,1362.0
14902,1369.0
15002,1369.0
15102,1360.0
15203,1360.0
15302,1364.0
15402,1364.0
15502,1360.0
15602,1360.0
15703,1360.0
15802,1371.0
15902,1371.0
16002,1369.0
16103,1369.0
16202,1375.0
16302,1375.0
16402,1374.0
16502,1382.0
16603,1382.0
16702,1375.0
16802,1375.0
16902,1382.0
17002,1382.0
17103,1375.0
17202,1375.0
17302,1375.0
17402,1367.0
17502,1367.0
17602,1367.0
17703,1367.0
17802,1375.0
17903,1375.0
18002,1369.0
18102,1369.0
18202,1369.0
18302,1369.0
18403,1369.0
18502,1369.0
18602,1369.0
18703,1367.0
18802,1367.0
18902,1373.0
19002,1373.0
19102,1369.0
19202,1375.0
19303,1375.0
19402,1369.0
19502,1369.0
19602,1375.0
19703,1375.0
19802,1367.0
19902,1367.0
20002,1369.0
20102,1374.0
20203,1374.0
20302,1375.0
20402,1375.0
20502,1382.0
20602,1382.0
20703,1385.0
20802,1385.0
20902,1385.0
21002,1374.0
21102,1374.0
21203,1374.0
21302,1374.0
21402,1369.0
21502,1369.0
21603,1360.0
21702,1360.0
21802,1353.0
21902,1346.0
22002,1346.0
22103,1339.0
22202,1339.0
22302,1331.0
22402,1331.0
22503,1333.0
22602,1333.0
22703,1333.0
22802,1324.0
22903,1324.0
23002,1317.0
23102,1317.0
23202,1313.0
23302,1313.0
23402,1313.0
23503,1313.0
23602,1314.0
23702,1314.0
23802,1306.0
23903,1308.0
24002,1308.0
24102,1297.0
24202,1297.0
24302,1297.0
24402,1297.0
24503,1290.0
24602,1290.0
24702,1292.0
24802,1283.0
24902,1283.0
25003,1276.0
25102,1276.0
25202,1268.0
25302,1268.0
25403,1268.0
25502,1274.0
25602,1274.0
25703,1274.0
25802,1274.0
25902,1274.0
26002,1274.0
26102,1265.0
26203,1265.0
26302,1265.0
26402,1265.0
26502,1256.0
26602,1234.0
26702,1234.0
26803,1203.0
26902,1203.0
27002,1227.0
27102,1227.0
27202,1243.0
27302,1274.0
27403,1274.0
27502,1272.0
27602,1272.0
27702,1274.0
27802,1274.0
27903,1274.0
28002,1274.0
28102,1265.0
28202,1265.0
28302,1267.0
28402,1252.0
28503,1252.0
28602,1260.0
28702,1260.0
28802,1056.0
28902,1056.0
29003,1243.0
29102,1243.0
29202,1265.0
29302,1267.0
29403,1267.0
29502,1259.0
29602,1259.0
29703,1259.0
29802,1259.0
29902,1261.0
30002,1261.0
30103,1259.0
30202,1257.0
30302,1257.0
30402,1265.0
30503,1265.0
30602,1267.0
30702,1267.0
30802,1265.0
30903,1265.0
31002,1259.0
31102,1259.0
31202,1259.0
31302,1261.0
31403,1261.0
31502,1259.0
31602,1259.0
31702,1267.0
31803,1267.0
31902,1265.0
32002,1272.0
32102,1272.0
32202,1279.0
32302,1279.0
32402,1281.0
32502,1281.0
32603,1279.0
32702,1279.0
32802,1288.0
32903,1286.0
33002,1286.0
33102,1294.0
33202,1294.0
33303,1295.0
33402,1295.0
33502,1302.0
33603,1302.0
33703,1308.0
33802,1317.0
33903,1317.0
34003,1315.0
34102,1315.0
34203,1326.0
34302,1326.0
34403,1324.0
34502,1324.0
34602,1324.0
34702,1315.0
34803,1315.0
34903,1324.0
35002,1324.0
35102,1315.0
35203,1315.0
35302,1315.0
35402,1315.0
35502,1324.0
35602,1322.0
35704,1322.0
35803,1322.0
35902,1322.0
36002,1324.0
36103,1324.0
36202,1326.0
36303,1326.0
36402,1315.0
36502,1324.0
36603,1324.0
36704,1315.0
36802,1315.0
36902,1326.0
37002,1326.0
37103,1324.0
37202,1324.0
37302,1317.0
37403,1326.0
37502,1326.0
37602,1315.0
37702,1315.0
37803,1324.0
38190,1324.0
38190,1324.0
38190,1324.0
38202,1324.0
38302,1324.0
38404,1324.0
38502,1324.0
38604,1324.0
38702,1324.0
38803,1324.0
38902,1324.0
39002,1324.0
39102,1324.0
39203,1324.0
39302,1324.0
39402,1322.0
39502,1322.0
39603,1333.0
39703,1333.0
39803,1330.0
39902,1330.0
40004,1329.0
40102,1322.0
40202,1322.0
40303,1317.0
40402,1317.0
40502,1315.0
40602,1315.0
40702,1306.0
40803,1306.0
40903,1301.0
41002,1266.0
41102,1266.0
41203,1261.0
41302,1261.0
41402,1247.0
41502,1247.0
41603,1223.0
41706,1223.0
41802,1214.0
41902,1205.0
42002,1205.0
42102,1205.0
42209,1205.0
42304,1198.0
42402,1198.0
42502,1198.0
42603,1198.0
42704,1191.0
42802,1191.0
42902,1191.0
43002,1190.0
43103,1190.0
43202,1199.0
43302,1199.0
43403,1223.0
43502,1223.0
43602,1243.0
43703,1277.0
43803,1277.0
43902,1308.0
44002,1308.0
44103,1333.0
44203,1333.0
44302,1344.0
44403,1344.0
44502,1346.0
44602,1346.0
44703,1346.0
44802,1345.0
44902,1345.0
45003,1353.0
45102,1353.0
45202,1366.0
45302,1366.0
45403,1371.0
45502,1374.0
45602,1374.0
45702,1378.0
45803,1378.0
45904,1376.0
46002,1376.0
46102,1383.0
46202,1383.0
46302,1390.0
46403,1390.0
46502,1390.0
46602,1390.0
46703,1390.0
46802,1385.0
46902,1385.0
47002,1380.0
47103,1380.0
47202,1374.0
47302,1371.0
47402,1371.0
47502,1365.0
47603,1365.0
47702,1360.0
47803,1360.0
47904,1362.0
48004,1362.0
48102,1355.0
48203,1355.0
48302,1355.0
48402,1355.0
48502,1355.0
48602,1357.0
48712,1357.0
48803,1353.0
48903,1353.0
49007,1344.0
49103,1344.0
49203,1342.0
49303,1342.0
49402,1342.0
49502,1344.0
49602,1344.0
49703,1350.0
49802,1350.0
49903,1349.0
50002,1347.0
50103,1347.0
50202,1349.0
50302,1349.0
50403,1342.0
50502,1342.0
50602,1329.0
50702,1329.0
50802,1317.0
50903,1317.0
51002,1304.0
51103,1306.0
51203,1306.0
51305,1306.0
51402,1306.0
51503,1304.0
51603,1304.0
51704,1313.0
51803,1317.0
51902,1317.0
52003,1326.0
52104,1326.0
52202,1315.0
52302,1315.0
52402,1315.0
52503,1315.0
52602,1317.0
52702,1317.0
52802,1309.0
52903,1310.0
53002,1310.0
53103,1308.0
53202,1308.0
53303,1308.0
53402,1308.0
53503,1308.0
53603,1308.0
