Milliseconds,X,Y,Z
18000,22.0,-32.4,-52.2
18100,21.9,-32.4,-52.100002
18202,21.9,-32.4,-52.100002
18300,21.9,-32.5,-52.100002
18400,22.0,-32.4,-52.0
18500,22.1,-32.5,-52.0
18600,22.1,-32.5,-52.100002
18701,22.2,-32.5,-52.2
18800,22.0,-32.5,-52.2
18900,22.0,-32.4,-52.2
19000,22.0,-32.4,-52.3
19100,22.0,-32.4,-52.3
19200,21.9,-32.5,-52.4
19301,21.9,-32.5,-52.5
19400,21.800001,-32.4,-52.5
19500,22.0,-32.3,-52.5
19601,22.0,-32.3,-52.3
19700,22.0,-32.4,-52.3
19800,21.800001,-32.3,-52.3
19900,21.800001,-32.4,-52.100002
20000,21.9,-32.3,-52.100002
20100,22.0,-32.4,-52.0
20201,22.0,-32.3,-52.100002
20300,22.0,-32.4,-52.100002
20400,22.0,-32.4,-52.3
20500,22.0,-32.4,-52.100002
20600,22.0,-32.5,-52.100002
20700,22.0,-32.5,-52.100002
20801,21.9,-32.5,-52.2
20900,21.9,-32.5,-52.600002
21000,21.9,-32.5,-52.2
21100,22.0,-32.600002,-52.100002
21200,22.0,-32.5,-52.0
21300,21.9,-32.5,-52.5
21401,21.9,-32.4,-52.7
21500,22.0,-32.4,-52.600002
21600,22.0,-32.5,-52.3
21700,22.1,-32.600002,-52.0
21800,22.300001,-32.7,-52.0
21900,22.2,-32.600002,-52.0
22001,22.1,-32.5,-52.2
22100,22.0,-32.5,-52.100002
22200,22.1,-32.5,-52.2
22300,22.2,-32.5,-52.3
22400,22.1,-32.5,-52.5
22501,22.1,-32.5,-52.5
22600,22.1,-32.600002,-52.3
22700,22.2,-32.5,-52.3
22800,22.2,-32.4,-52.4
22900,22.300001,-32.4,-52.600002
23001,22.1,-32.4,-52.600002
23100,22.1,-32.4,-52.600002
23200,22.2,-32.5,-52.2
23300,22.4,-32.4,-52.2
23400,22.6,-32.4,-52.2
23500,22.5,-32.4,-52.3
23601,22.300001,-32.5,-52.2
23700,22.0,-32.5,-52.100002
23800,21.9,-32.4,-52.100002
23900,21.9,-32.4,-52.2
24000,22.0,-32.3,-52.2
24101,21.9,-32.4,-52.2
24200,22.0,-32.4,-52.3
24300,21.9,-32.4,-52.2
24400,22.0,-32.3,-52.2
24500,22.0,-32.3,-52.100002
24601,22.0,-32.5,-51.9
24700,22.0,-32.5,-51.7
24800,22.0,-32.5,-51.4
24900,22.0,-32.5,-51.3
25001,22.1,-32.5,-51.5
25100,22.1,-32.4,-51.4
25200,22.0,-32.4,-51.600002
25300,22.0,-32.3,-51.600002
25401,22.2,-32.3,-51.600002
25500,22.2,-32.3,-51.8
25600,22.2,-32.4,-51.9
25700,22.0,-32.4,-52.3
25800,22.0,-32.3,-52.2
25901,22.0,-32.3,-52.2
26000,22.1,-32.4,-52.100002
26100,22.1,-32.5,-51.9
26200,22.2,-32.4,-51.9
26300,22.2,-32.3,-51.8
26400,22.2,-32.2,-51.9
26501,22.300001,-32.3,-51.8
26600,22.300001,-32.4,-51.9
26700,22.300001,-32.4,-51.7
26800,22.1,-32.3,-52.0
26900,22.1,-32.3,-52.0
27001,22.1,-32.3,-52.100002
27101,22.1,-32.3,-51.9
27200,22.2,-32.4,-52.0
27300,22.300001,-32.5,-52.2
27400,22.2,-32.5,-51.9
27501,22.2,-32.5,-51.8
27600,22.1,-32.5,-51.7
27700,22.1,-32.5,-52.100002
27802,22.1,-32.600002,-52.2
27900,22.2,-32.600002,-52.2
28000,22.2,-32.5,-52.0
28100,22.4,-32.5,-52.0
28201,22.300001,-32.5,-52.100002
28300,22.300001,-32.5,-52.2
28400,22.2,-32.600002,-51.9
