Milliseconds,X,Y,Z,cos,headingAccuracy
20,-0.007143,0.001381,0.128104,0.991734,246.0
120,-0.006966,0.001347,0.122693,0.992419,246.0
220,-0.006931,0.001218,0.122493,0.992444,246.0
320,-0.006677,0.001305,0.12685,0.991898,246.0
421,-0.006655,0.001039,0.137944,0.990417,246.0
520,-0.00634,9.74E-4,0.146335,0.989214,246.0
620,-0.006541,8.59E-4,0.149786,0.988696,246.0
720,-0.006863,7.41E-4,0.145721,0.989301,246.0
820,-0.006863,7.49E-4,0.143849,0.989575,246.0
920,-0.006826,7.05E-4,0.141965,0.989847,246.0
1020,-0.006748,8.94E-4,0.141758,0.989877,246.0
1120,-0.006502,9.69E-4,0.140616,0.990042,246.0
1221,-0.006753,9.71E-4,0.142466,0.989776,246.0
1320,-0.006849,0.001081,0.138105,0.990393,246.0
1420,-0.006655,0.001305,0.1337,0.990998,246.0
1520,-0.00658,0.001416,0.130723,0.991396,246.0
1620,-0.006384,0.001394,0.132568,0.991152,246.0
1720,-0.006351,0.001375,0.135112,0.990809,246.0
1821,-0.006237,0.001408,0.14027,0.990092,246.0
1920,-0.006448,0.001191,0.141962,0.98985,246.0
2020,-0.006578,0.001066,0.142765,0.989734,246.0
2120,-0.006461,9.67E-4,0.141425,0.989927,246.0
2220,-0.006453,9.0E-4,0.141131,0.989969,246.0
2320,-0.006443,9.38E-4,0.141356,0.989937,246.0
2420,-0.006441,7.48E-4,0.141538,0.989911,246.0
2520,-0.006363,0.001042,0.14108,0.989977,246.0
2620,-0.006542,0.001018,0.140834,0.990011,246.0
2720,-0.006769,0.001087,0.140634,0.990037,246.0
2820,-0.006968,0.001056,0.140655,0.990033,246.0
2920,-0.007082,0.001059,0.140563,0.990045,246.0
3020,-0.007047,9.26E-4,0.141268,0.989945,246.0
3120,-0.007269,8.57E-4,0.141911,0.989852,246.0
3221,-0.007129,0.001013,0.14164,0.989892,246.0
3320,-0.007248,8.71E-4,0.14212,0.989822,246.0
3421,-0.007116,8.39E-4,0.14249,0.98977,246.0
3520,-0.007301,9.4E-4,0.142483,0.989769,246.0
3620,-0.007273,8.82E-4,0.141913,0.989852,246.0
3721,-0.007197,7.48E-4,0.142251,0.989804,246.0
3820,-0.006977,7.71E-4,0.142694,0.989741,246.0
3920,-0.006894,7.69E-4,0.142675,0.989745,246.0
4021,-0.006919,6.4E-4,0.142428,0.98978,246.0
4121,-0.006798,5.76E-4,0.143329,0.989651,246.0
4220,-0.006738,5.67E-4,0.143343,0.98965,246.0
4321,-0.006512,4.88E-4,0.14341,0.989641,246.0
4420,-0.006389,4.19E-4,0.143816,0.989583,246.0
4521,-0.006275,4.45E-4,0.143817,0.989584,246.0
4620,-0.006336,3.25E-4,0.144017,0.989554,246.0
4720,-0.006304,3.95E-4,0.144041,0.989551,246.0
4821,-0.006401,4.51E-4,0.144377,0.989501,246.0
4920,-0.006483,3.75E-4,0.144062,0.989547,246.0
5020,-0.006469,3.41E-4,0.144395,0.989498,246.0
5121,-0.006657,3.43E-4,0.145018,0.989406,246.0
5220,-0.006773,3.65E-4,0.144839,0.989431,246.0
5320,-0.006579,4.51E-4,0.144493,0.989483,246.0
5421,-0.006498,4.06E-4,0.144509,0.989482,246.0
5520,-0.006601,2.96E-4,0.144811,0.989437,246.0
5621,-0.006499,4.7E-5,0.145705,0.989306,246.0
5720,-0.00642,2.07E-4,0.146201,0.989233,246.0
5820,-0.006524,1.3E-4,0.146028,0.989258,246.0
5920,-0.006345,3.25E-4,0.14541,0.98935,246.0
6021,-0.006299,3.12E-4,0.145216,0.989379,246.0
6120,-0.006368,2.82E-4,0.145157,0.989387,246.0
6221,-0.006413,2.93E-4,0.144917,0.989422,246.0
6320,-0.006207,0.001468,0.144009,0.989555,246.0
6420,-0.006332,0.001029,0.143006,0.9897,246.0
6521,-0.006177,0.001102,0.139243,0.990238,246.0
6620,-0.006213,9.62E-4,0.144527,0.98948,246.0
6720,-0.006338,9.0E-4,0.153233,0.988169,246.0
6821,-0.006325,9.08E-4,0.154738,0.987934,246.0
6921,-0.006494,8.69E-4,0.149751,0.988702,246.0
7020,-0.006499,8.43E-4,0.143785,0.989587,246.0
7120,-0.00648,7.79E-4,0.143165,0.989677,246.0
7221,-0.006296,8.66E-4,0.142432,0.989784,246.0
7321,-0.006396,8.33E-4,0.140273,0.990091,246.0
7420,-0.006319,9.26E-4,0.13645,0.990626,246.0
7521,-0.006184,9.14E-4,0.137056,0.990543,246.0
7620,-0.006325,6.56E-4,0.138405,0.990355,246.0
7720,-0.006225,6.17E-4,0.13892,0.990283,246.0
7820,-0.006215,6.78E-4,0.140094,0.990118,246.0
7921,-0.005959,7.85E-4,0.141346,0.989942,246.0
8020,-0.006227,7.93E-4,0.13926,0.990235,246.0
8120,-0.006063,7.01E-4,0.139474,0.990206,246.0
8220,-0.006191,7.09E-4,0.13657,0.99061,246.0
8320,-0.006168,6.06E-4,0.136815,0.990577,246.0
8421,-0.006158,5.58E-4,0.1339,0.990975,246.0
8520,-0.006248,5.99E-4,0.133025,0.991092,246.0
8620,-0.00631,6.49E-4,0.132388,0.991177,246.0
8720,-0.006068,7.7E-4,0.131938,0.991239,246.0
8820,-0.006183,9.19E-4,0.131246,0.99133,246.0
8921,-0.006103,8.7E-4,0.130822,0.991386,246.0
9020,-0.006208,7.96E-4,0.131116,0.991347,246.0
9120,-0.006036,7.59E-4,0.131025,0.99136,246.0
9221,-0.006271,6.28E-4,0.131681,0.991272,246.0
9320,-0.006194,6.71E-4,0.131816,0.991254,246.0
9420,-0.006222,7.57E-4,0.131793,0.991257,246.0
9520,-0.006181,6.24E-4,0.132095,0.991217,246.0
9620,-0.006016,6.43E-4,0.1322,0.991204,246.0
9721,-0.005975,5.14E-4,0.132295,0.991192,246.0
9820,-0.005922,4.91E-4,0.13266,0.991143,246.0
9920,-0.005769,4.85E-4,0.132726,0.991135,246.0
10020,-0.005729,4.11E-4,0.133159,0.991078,246.0
10121,-0.005795,5.54E-4,0.132934,0.991107,246.0
10221,-0.006242,3.93E-4,0.133112,0.991081,246.0
10320,-0.006436,4.59E-4,0.133721,0.990997,246.0
10421,-0.006477,7.22E-4,0.132651,0.991141,246.0
10520,-0.006625,6.43E-4,0.132461,0.991165,246.0
10621,-0.006744,7.13E-4,0.132695,0.991133,246.0
10720,-0.00707,6.97E-4,0.1324,0.99117,246.0
10820,-0.006913,7.99E-4,0.132273,0.991188,246.0
10920,-0.006986,7.54E-4,0.132057,0.991217,246.0
11020,-0.007045,7.25E-4,0.132068,0.991215,246.0
11121,-0.007062,8.55E-4,0.132057,0.991216,246.0
11220,-0.007004,6.96E-4,0.132327,0.991181,246.0
11321,-0.00694,7.54E-4,0.131981,0.991227,246.0
11420,-0.006917,6.94E-4,0.132164,0.991203,246.0
11520,-0.006918,6.6E-4,0.132343,0.991179,246.0
11620,-0.006931,6.07E-4,0.132874,0.991108,246.0
11720,-0.006671,5.24E-4,0.133096,0.99108,246.0
11820,-0.006661,3.84E-4,0.133638,0.991007,246.0
11921,-0.006933,2.75E-4,0.13467,0.990866,246.0
12020,-0.006976,2.49E-4,0.135249,0.990786,246.0
12121,-0.007098,2.55E-4,0.135715,0.990722,246.0
12221,-0.007149,2.59E-4,0.135583,0.99074,246.0
12320,-0.007037,3.41E-4,0.135255,0.990785,246.0
12421,-0.007096,4.31E-4,0.13464,0.990869,246.0
12520,-0.007198,4.58E-4,0.134337,0.990909,246.0
12620,-0.006846,6.51E-4,0.133631,0.991007,246.0
12721,-0.006819,7.48E-4,0.132625,0.991142,246.0
12820,-0.006858,8.18E-4,0.132219,0.991196,246.0
12921,-0.007036,9.75E-4,0.131593,0.991278,246.0
13020,-0.006938,9.77E-4,0.131235,0.991326,246.0
13121,-0.006883,8.94E-4,0.131147,0.991338,246.0
13220,-0.006727,0.001039,0.130668,0.991402,246.0
13321,-0.006631,0.001105,0.13019,0.991466,246.0
13420,-0.006651,0.001044,0.130045,0.991485,246.0
13521,-0.006616,0.001144,0.12983,0.991513,246.0
13620,-0.006453,0.001172,0.129513,0.991556,246.0
13721,-0.006406,0.001119,0.129506,0.991557,246.0
13820,-0.006437,0.001112,0.129631,0.99154,246.0
13921,-0.006429,0.001073,0.129685,0.991533,246.0
14020,-0.006344,0.001128,0.129488,0.99156,246.0
14120,-0.006277,0.001062,0.1297,0.991532,246.0
14221,-0.006081,0.001044,0.129794,0.991521,246.0
14320,-0.005995,0.001242,0.129436,0.991568,246.0
14421,-0.005848,0.001271,0.128178,0.991733,246.0
14520,-0.006028,0.001451,0.127666,0.991797,246.0
14620,-0.005959,0.00158,0.126751,0.991915,246.0
14720,-0.005987,0.001638,0.126311,0.991971,246.0
14820,-0.006161,0.001569,0.126133,0.991992,246.0
14921,-0.006678,0.001467,0.126723,0.991914,246.0
15020,-0.006588,0.001286,0.127509,0.991814,246.0
15120,-0.00632,0.001423,0.127796,0.991779,246.0
15220,9.8E-4,-0.016813,0.123496,0.992202,246.0
15321,0.003083,-0.043751,0.131807,0.990304,246.0
15421,0.015765,-0.020662,0.13606,0.990359,246.0
15520,0.020874,0.051346,0.108225,0.99258,246.0
15621,0.058639,0.127655,-0.074125,0.987304,246.0
15720,0.085788,0.208141,-0.260162,0.938952,246.0
15820,0.086109,0.157737,-0.0942,0.979198,246.0
15920,0.048325,0.144917,0.115816,0.981452,246.0
16020,0.073965,0.166898,0.056769,0.981555,246.0
16121,0.133521,0.138194,-0.036345,0.98069,246.0
16220,0.131716,0.102703,-0.045712,0.984892,246.0
16320,0.119033,0.046611,-0.027946,0.991401,246.0
16421,0.138637,0.056769,-0.027086,0.988343,246.0
16520,0.215964,0.088378,-0.04863,0.971176,246.0
16620,0.234212,0.065816,-0.066101,0.967699,246.0
16721,0.263125,0.103797,-0.003548,0.959155,246.0
16820,0.269167,0.092488,0.010634,0.958583,246.0
16920,0.278597,0.080932,0.010787,0.956931,246.0
17021,0.276817,0.082252,0.014254,0.957289,246.0
17120,0.266463,0.042172,0.010641,0.962863,246.0
17220,0.260094,0.043338,0.026238,0.964253,246.0
17321,0.262652,0.05205,0.066277,0.961203,246.0
17420,0.249387,0.042966,0.08152,0.964009,246.0
17520,0.252005,0.041876,0.078297,0.963643,246.0
17621,0.28406,0.105477,0.055502,0.951369,246.0
17720,0.308781,0.157283,0.024701,0.937713,246.0
17820,0.312467,0.155104,0.013276,0.937085,246.0
17921,0.32173,0.155257,0.014661,0.9339,246.0
18020,0.321937,0.168985,0.00861,0.931518,246.0
18121,0.32168,0.173757,0.006987,0.930742,246.0
18220,0.311925,0.15432,6.69E-4,0.937489,246.0
18321,0.282463,0.095597,0.033206,0.953924,246.0
18420,0.272871,0.06038,0.145402,0.94908,246.0
18520,0.287577,0.027131,0.220219,0.931701,246.0
18621,0.303214,0.007775,0.270301,0.913749,246.0
18720,0.218033,0.006345,0.23326,0.947634,246.0
