Milliseconds,X,Y,Z
1491,-0.021548472,-0.12929083,9.632168
1501,-0.014365649,-0.12929083,9.613013
1511,-0.031125572,-0.1340794,9.624985
1521,-0.047885496,-0.12929083,9.60583
1531,-0.05506832,-0.14126222,9.624985
1541,-0.057462595,-0.1340794,9.615408
1551,-0.062251143,-0.12929083,9.591465
1561,-0.057462595,-0.12689656,9.593859
1571,-0.0670397,-0.11492519,9.598648
1581,-0.05985687,-0.117319465,9.586677
1592,-0.062251143,-0.14844504,9.581888
1601,-0.062251143,-0.117319465,9.613013
1611,-0.026337024,-0.15323359,9.627379
1621,-0.009577099,-0.14844504,9.62259
1631,0.0023942748,-0.14365649,9.60583
1641,-0.009577099,-0.1340794,9.624985
1651,-0.026337024,-0.117319465,9.624985
1661,-0.052674048,-0.11253092,9.613013
1672,-0.05506832,-0.11013664,9.613013
1681,-0.03351985,-0.1340794,9.598648
1691,-0.05985687,-0.09337672,9.608225
1701,-0.0670397,-0.11492519,9.584282
1711,-0.06464542,-0.11492519,9.60583
1721,-0.06943397,-0.117319465,9.586677
1731,-0.047885496,-0.12450229,9.608225
1741,-0.06464542,-0.14605077,9.601042
1752,-0.062251143,-0.15083931,9.596253
1761,-0.031125572,-0.16281068,9.62259
1771,-0.035914123,-0.16759923,9.62259
1781,-0.043096945,-0.16520496,9.615408
1791,-0.052674048,-0.17717634,9.601042
1801,-0.038308397,-0.13647367,9.620196
1811,-0.028731298,-0.117319465,9.615408
1821,-0.035914123,-0.117319465,9.62259
1831,-0.05985687,-0.11253092,9.61062
1841,-0.0670397,-0.117319465,9.60583
1851,-0.05506832,-0.117319465,9.593859
1861,-0.045491222,-0.117319465,9.615408
1871,-0.038308397,-0.11492519,9.627379
1881,-0.028731298,-0.12210801,9.615408
1891,-0.05027977,-0.12450229,9.62259
1901,-0.03351985,-0.14126222,9.624985
1911,-0.043096945,-0.12929083,9.624985
1921,-0.04070267,-0.15562786,9.627379
1931,-0.035914123,-0.14605077,9.62259
1941,-0.047885496,-0.13647367,9.615408
1951,-0.043096945,-0.11492519,9.620196
1961,-0.045491222,-0.10774237,9.641745
1971,-0.05506832,-0.10055954,9.620196
1981,-0.05985687,-0.117319465,9.60583
1992,-0.047885496,-0.11971374,9.591465
2001,-0.071828246,-0.12210801,9.596253
2011,-0.038308397,-0.117319465,9.627379
2021,-0.043096945,-0.13168511,9.620196
2031,-0.05027977,-0.117319465,9.624985
2041,-0.031125572,-0.15323359,9.62259
2051,-0.028731298,-0.15802214,9.615408
2061,-0.03351985,-0.15802214,9.636956
2072,-0.011971374,-0.16041641,9.624985
2081,-0.021548472,-0.13647367,9.601042
2091,-0.06464542,-0.11971374,9.629773
2101,-0.05506832,-0.12450229,9.598648
2111,-0.057462595,-0.11492519,9.60583
2121,-0.05985687,-0.117319465,9.593859
2131,-0.047885496,-0.117319465,9.61062
2141,-0.052674048,-0.117319465,9.60583
2151,-0.04070267,-0.12450229,9.62259
2162,-0.05027977,-0.117319465,9.632168
2171,-0.03351985,-0.12929083,9.617802
2181,-0.045491222,-0.12210801,9.598648
2191,-0.023942748,-0.15083931,9.629773
2201,-0.04070267,-0.15562786,9.636956
2211,-0.021548472,-0.15802214,9.648928
2221,-0.035914123,-0.117319465,9.617802
2231,-0.052674048,-0.117319465,9.608225
2241,-0.023942748,-0.13168511,9.629773
2252,-0.04070267,-0.11971374,9.61062
2261,-0.0670397,-0.117319465,9.593859
2271,-0.05985687,-0.117319465,9.615408
