Milliseconds,X,Y,Z
1,2.0,7.7000003,-50.4
100,2.0,7.7000003,-50.4
200,2.0,7.8,-50.5
300,2.1000001,7.8,-50.3
400,2.3,7.8,-50.3
500,2.5,7.9,-49.9
600,2.5,8.0,-49.9
700,2.3,8.0,-50.0
801,2.3,7.9,-50.2
900,2.2,7.9,-50.3
1000,2.3,8.0,-50.0
1100,2.2,7.9,-50.100002
1200,2.3,7.8,-50.100002
1300,2.2,7.8,-50.3
1401,2.1000001,7.8,-50.3
1500,2.1000001,7.8,-50.2
1600,2.2,7.9,-50.4
1700,2.3,7.9,-50.3
1800,2.4,7.9,-50.4
1900,2.4,7.9,-50.3
2000,2.3,7.9,-50.5
2100,2.2,8.0,-50.7
2201,2.2,7.9,-50.8
2300,2.3,7.8,-50.7
2400,2.4,7.8,-50.7
2500,2.5,7.9,-50.7
2600,2.4,7.9,-50.7
2700,2.3,7.8,-50.5
2800,2.2,7.8,-50.600002
2900,2.1000001,7.8,-50.7
3000,2.1000001,7.8,-50.7
3101,2.0,7.7000003,-50.7
3200,1.9,7.7000003,-50.7
3300,2.0,7.7000003,-50.7
3401,2.1000001,7.7000003,-50.5
3500,2.4,7.8,-50.4
3600,2.5,7.8,-50.2
3701,2.5,7.7000003,-50.3
3800,2.4,7.7000003,-50.4
3900,2.4,7.7000003,-50.600002
4000,2.3,7.7000003,-50.5
4101,2.4,7.8,-50.4
4200,2.3,7.8,-50.3
4300,2.4,7.7000003,-50.3
4401,2.1000001,7.6,-50.2
4500,2.2,7.6,-50.2
4600,2.2,7.6,-50.3
4701,2.2,7.6,-50.3
4800,2.2,7.6,-50.4
4900,2.2,7.7000003,-50.5
5000,2.3,7.8,-50.7
5101,2.3,7.8,-50.5
5200,2.3,7.8,-50.2
5300,2.2,7.8,-50.2
5401,2.0,7.7000003,-50.2
5500,2.0,7.7000003,-50.3
5600,2.0,7.7000003,-50.100002
5701,2.1000001,7.7000003,-50.100002
5800,2.2,7.8,-50.100002
5900,2.4,7.9,-50.3
6001,2.4,7.9,-50.600002
6100,2.3,7.9,-50.600002
6200,2.2,7.8,-50.5
6301,2.1000001,7.8,-50.4
6400,2.2,7.9,-50.4
6500,2.2,7.9,-50.4
6601,2.4,7.8,-50.4
6700,2.5,7.8,-50.100002
6800,2.5,7.8,-50.100002
6901,2.3,7.8,-50.100002
7000,2.2,7.8,-50.2
7100,2.3,7.8,-49.9
7201,2.3,7.9,-49.9
7300,2.2,7.9,-50.0
7400,2.2,7.8,-50.3
7501,2.2,7.8,-50.4
7600,2.2,7.7000003,-50.3
7700,2.2,7.6,-50.3
7800,2.2,7.6,-50.3
7901,2.3,7.7000003,-50.3
8000,2.2,7.8,-50.100002
8100,2.3,7.9,-50.2
8200,2.2,7.8,-50.100002
8301,2.2,7.9,-50.2
8400,2.1000001,7.9,-50.3
8500,2.1000001,7.8,-50.5
8601,2.1000001,7.8,-50.600002
8700,2.1000001,7.8,-50.4
8800,2.1000001,7.8,-50.2
8901,2.1000001,7.8,-50.2
9000,2.1000001,7.7000003,-50.2
9100,2.1000001,7.7000003,-50.3
9200,2.1000001,7.7000003,-50.100002
9301,2.1000001,7.7000003,-50.3
9400,2.3,7.8,-50.100002
9500,2.1000001,7.7000003,-50.100002
9601,2.1000001,7.8,-50.0
9700,2.2,7.8,-49.9
9800,2.5,7.8,-49.9
9900,2.5,7.7000003,-49.9
10000,2.4,7.8,-50.0
10101,2.3,7.9,-50.2
10200,2.3,7.9,-50.2
10300,2.2,7.8,-50.100002
10401,2.1000001,7.7000003,-50.2
10500,2.2,7.8,-50.100002
10600,2.2,7.8,-50.2
10700,2.5,7.9,-50.3
10801,2.4,7.9,-50.3
10900,2.4,7.8,-50.2
11000,2.3,7.8,-50.0
11101,2.2,7.8,-49.7
11200,2.3,7.9,-49.600002
11300,2.3,7.8,-49.8
11401,2.3,7.7000003,-49.8
11500,2.0,7.7000003,-49.8
11600,1.8000001,7.9,-49.8
11701,1.8000001,7.9,-50.0
11800,1.8000001,8.0,-50.100002
11901,2.1000001,8.0,-50.0
12000,2.1000001,8.0,-50.2
12101,2.0,7.9,-50.4
12200,1.9,7.8,-50.3
12301,1.9,7.8,-50.2
12400,2.0,7.9,-50.2
12500,2.2,7.9,-50.4
12601,2.3,7.9,-50.5
12700,2.3,7.8,-50.5
12800,2.3,7.7000003,-50.100002
12900,2.4,7.7000003,-49.9
13000,2.3,7.7000003,-49.7
13101,2.2,7.8,-49.9
13200,2.1000001,7.8,-50.100002
13301,2.3,7.8,-50.2
13400,2.3,7.7000003,-50.2
13500,2.3,7.7000003,-50.2
13600,2.2,7.7000003,-50.3
13700,2.1000001,7.7000003,-50.100002
13800,2.2,7.7000003,-50.0
13900,2.3,7.7000003,-49.8
14001,2.4,7.7000003,-49.9
14100,2.2,7.8,-49.9
14200,2.1000001,7.9,-50.2
14300,2.2,7.9,-50.100002
14400,2.2,7.9,-50.2
14501,2.3,7.9,-49.9
14600,2.2,7.9,-50.100002
14700,2.1000001,7.9,-50.3
14801,2.1000001,7.9,-50.4
14900,2.0,7.9,-50.5
15000,2.1000001,7.8,-50.3
15101,2.1000001,7.7000003,-50.3
15200,2.1000001,7.6,-50.100002
15301,1.3000001,7.7000003,-50.100002
15400,-0.3,7.7000003,-50.100002
15501,-1.0,6.7000003,-50.600002
15600,4.2000003,3.9,-51.3
15701,11.8,3.2,-49.100002
15800,14.0,0.6,-49.5
