Milliseconds,Illuminance
1,38.0
101,37.0
201,37.0
301,37.0
401,37.0
502,37.0
601,37.0
701,37.0
801,37.0
901,37.0
1001,37.0
1101,37.0
1202,37.0
1301,37.0
1401,37.0
1501,37.0
1601,37.0
1701,37.0
1801,37.0
1901,37.0
2001,37.0
2102,37.0
2201,37.0
2301,37.0
2401,37.0
2501,37.0
2601,37.0
2701,37.0
2801,37.0
2902,37.0
3001,37.0
3101,37.0
3201,37.0
3301,37.0
3402,37.0
3501,37.0
3602,38.0
3701,40.0
3802,40.0
3901,37.0
4002,37.0
4101,37.0
4202,37.0
4301,38.0
4402,38.0
4501,37.0
4602,38.0
4701,38.0
4801,38.0
4901,38.0
5002,38.0
5101,38.0
5201,38.0
5301,38.0
5402,37.0
5501,37.0
5601,37.0
5701,37.0
5801,37.0
5901,37.0
6002,37.0
6101,37.0
6201,37.0
6301,38.0
6402,37.0
6501,37.0
6601,38.0
6701,38.0
6801,38.0
6901,38.0
7002,38.0
7101,38.0
7201,37.0
7301,38.0
7401,38.0
7501,38.0
7601,38.0
7702,38.0
7801,38.0
7901,37.0
8002,37.0
8101,38.0
8201,37.0
8301,37.0
8401,37.0
8502,37.0
8601,37.0
8701,37.0
8802,38.0
8901,38.0
9001,38.0
9101,38.0
9201,38.0
9301,38.0
9402,38.0
9501,38.0
9601,38.0
9701,38.0
9801,38.0
9902,38.0
10001,38.0
10101,38.0
10202,38.0
10301,38.0
10402,38.0
10501,38.0
10601,38.0
10702,38.0
10801,38.0
10902,37.0
11001,37.0
11102,38.0
11201,38.0
11301,38.0
11401,38.0
11501,37.0
11601,37.0
11702,38.0
11801,38.0
11902,38.0
12001,38.0
12101,38.0
12202,38.0
12301,38.0
12402,38.0
12501,38.0
12601,38.0
12701,38.0
12802,38.0
12901,38.0
13002,38.0
13101,38.0
13201,38.0
13302,38.0
13401,38.0
13502,37.0
13601,37.0
13702,37.0
13801,38.0
13901,38.0
14001,40.0
14101,40.0
14201,40.0
14302,40.0
14401,40.0
14501,40.0
14601,40.0
14702,40.0
14801,40.0
14902,40.0
15001,40.0
15101,40.0
15201,40.0
15301,43.0
15402,49.0
15501,49.0
15601,38.0
15702,38.0
15801,33.0
15901,33.0
16002,33.0
16101,33.0
16201,30.0
16301,33.0
16401,33.0
16501,35.0
16601,35.0
16701,30.0
16802,30.0
16901,27.0
17001,27.0
17101,27.0
17202,32.0
17301,32.0
17401,32.0
17501,32.0
17602,32.0
17701,32.0
17802,27.0
17901,27.0
18001,24.0
18102,27.0
18201,27.0
18301,28.0
18401,28.0
18502,32.0
18601,32.0
18701,30.0
18802,30.0
18901,33.0
19002,32.0
19102,32.0
19202,32.0
19301,32.0
19402,32.0
19501,32.0
19602,32.0
19701,32.0
19802,29.0
19901,29.0
20001,29.0
20101,29.0
20202,29.0
20301,27.0
20402,27.0
20501,30.0
20601,30.0
20701,30.0
20801,30.0
