Milliseconds,X,Y,Z
14600,-0.04586998,-0.11093434,9.805916
14700,-0.046506144,-0.11070222,9.805915
14800,-0.04674968,-0.115728915,9.805856
14900,-0.046490684,-0.124028675,9.805756
15000,-0.04203515,-0.12438195,9.805772
15100,-0.044292774,-0.12164284,9.805796
15200,0.1715854,-0.0295026,9.805104
15300,0.8127586,-0.056609996,9.772748
15401,0.5786358,0.16102566,9.78824
15500,-0.52068496,0.45376113,9.782299
15600,-2.019518,0.83984387,9.559634
15700,-3.7547693,0.58939844,9.040171
15800,-3.2272227,1.4423386,9.1474085
15901,-2.6375582,1.1769049,9.371689
16000,-3.0922003,1.4998404,9.184724
16100,-2.8532422,2.329691,9.08856
16200,-2.34022,2.48096,9.194487
16300,-0.98042387,2.366622,9.466164
16400,-0.9526708,2.3607876,9.470453
16501,-1.8754002,3.8681161,8.814246
16600,-1.6125059,4.2910266,8.669331
16700,-1.6580763,5.0616393,8.234132
16801,-1.7690773,4.8996253,8.308693
16900,-1.5334219,5.1706424,8.190447
17000,-1.5458766,5.2687306,8.125336
17100,-0.9557573,5.0931897,8.325641
17201,-0.67473274,4.9553175,8.435632
17300,-0.6672741,5.084528,8.358987
17400,-0.47440723,4.792619,8.542605
17500,-0.35505727,4.773297,8.559201
17601,-1.1905488,5.259551,8.190853
17700,-2.5986636,5.7170286,7.5321236
17800,-2.8017309,5.722045,7.4551244
17900,-2.7355366,5.9050493,7.336044
18000,-2.9387896,5.917779,7.246634
18101,-3.1569521,5.9164586,7.1553817
18200,-2.9372003,5.836844,7.3126264
18300,-2.0392096,5.325451,7.978191
18400,-0.5872712,5.228459,8.275788
18501,0.5666333,5.366979,8.188088
18600,1.3573403,5.447566,8.040646
18700,1.0280972,4.4148736,8.696106
18801,0.38359353,4.576143,8.664995
18900,-0.05363624,4.857617,8.518863
19000,0.04864859,4.3357825,8.795964
19101,0.7065818,4.70346,8.576044
19200,0.77927876,4.684562,8.580091
19300,0.52073157,5.1333623,8.339532
19401,0.27092698,5.6028013,8.043976
19500,0.36020085,5.5988193,8.043247
19600,0.2866237,6.1310973,7.6483865
19701,-0.28571877,5.7676716,7.9260764
19800,-0.6828502,5.109195,8.342672
19900,-1.0452129,4.927503,8.414132
20000,-2.1567824,4.720515,8.320779
20100,-2.4535005,4.6181674,8.295976
20200,-1.2286806,5.070489,8.303664
20300,-0.0225175,5.5931883,8.055189
20400,-0.019295469,5.512581,8.110577
20500,-0.2192854,5.3546352,8.212803
20600,-0.42429286,5.294364,8.24379
20700,-0.329883,5.219075,8.29595
20800,-0.329883,5.219075,8.29595
