Milliseconds,X,Y,Z
0,0.2676425,4.9189773,8.479527
100,0.2639299,4.922321,8.477703
200,0.26706952,4.922413,8.4775505
301,0.26198798,4.924767,8.476341
400,0.2560314,4.9259143,8.475856
501,0.25458705,4.927546,8.474953
600,0.25195453,4.9273105,8.475167
700,0.24905966,4.931548,8.47279
802,0.24939577,4.928819,8.474367
901,0.2502458,4.9310946,8.473018
1000,0.25401947,4.9320855,8.47233
1100,0.25907794,4.9293966,8.473741
1200,0.25820598,4.930111,8.473352
1300,0.2585273,4.932952,8.471687
1401,0.26023602,4.932074,8.472145
1500,0.25436464,4.9445457,8.465054
1600,0.25678223,4.941501,8.466758
1700,0.25778702,4.940941,8.467053
1800,0.25725436,4.9367547,8.469512
1901,0.25969198,4.935888,8.469943
2001,0.26275486,4.931101,8.472637
2100,0.26125088,4.938612,8.468305
2200,0.2686343,4.9339213,8.470809
2301,0.2689356,4.9305234,8.472777
2400,0.2553959,4.927184,8.475138
2500,0.23813306,4.927504,8.475455
2600,0.23937297,4.9279346,8.475171
2700,0.24915816,4.928123,8.474779
2800,0.2502382,4.927606,8.475048
2901,0.25401494,4.923909,8.477081
3000,0.25107774,4.9186373,8.48023
3100,0.24812385,4.9168596,8.481348
3200,0.24441871,4.913566,8.483364
3300,0.24456294,4.9119887,8.484275
3400,0.24698988,4.9093533,8.485729
3500,0.24962768,4.9109745,8.484712
3601,0.2555933,4.9102936,8.484928
3700,0.25829583,4.913221,8.483152
3800,0.2609598,4.9144106,8.482383
3900,0.2630436,4.9131227,8.483064
4000,0.26297304,4.9138474,8.482647
4100,0.26365358,4.9146075,8.482185
4201,0.26185003,4.916881,8.480921
4300,0.2644146,4.915359,8.481725
4404,0.2662712,4.915452,8.481615
4500,0.26646805,4.9150033,8.48187
4600,0.26551455,4.915246,8.481756
4701,0.26812357,4.905419,8.487363
4800,0.26583412,4.9034877,8.488551
4900,0.26561743,4.9042497,8.488115
5000,0.26822877,4.904078,8.488134
5101,0.27263066,4.9061484,8.486795
5200,0.2627169,4.9105215,8.484578
5302,0.26271892,4.9154897,8.481703
5405,0.26554683,4.9167643,8.480877
5500,0.26486748,4.920361,8.478811
5600,0.26735535,4.9182653,8.479948
5701,0.2648555,4.9199266,8.479064
5800,0.2611654,4.9212394,8.478416
5900,0.25684798,4.919517,8.479548
6000,0.25677726,4.9191065,8.479787
6101,0.24794002,4.927392,8.475239
6200,0.250777,4.9284754,8.474526
6300,0.24789326,4.9280515,8.474857
6400,0.2448758,4.9304204,8.473565
6500,0.24903482,4.929042,8.474248
6601,0.25042424,4.92794,8.474848
6700,0.2503956,4.9256396,8.476184
6800,0.24964434,4.9254847,8.476297
6900,0.25534254,4.9252768,8.476249
7001,0.25446606,4.9264617,8.475587
7100,0.2503963,4.924226,8.477007
7200,0.2531389,4.924212,8.476934
7300,0.25456178,4.9250493,8.476406
7400,0.25418696,4.9272933,8.475111
7500,0.25683308,4.9274073,8.474966
7600,0.2551542,4.9292607,8.47394
7701,0.25423956,4.922351,8.477981
7800,0.2540243,4.9246693,8.476642
7901,0.25711906,4.9220495,8.47807
8001,0.25995517,4.92606,8.475654
8100,0.2663944,4.928908,8.473797
8201,0.26781902,4.9265094,8.475148
8321,0.267244,4.927238,8.474742
8401,0.26754928,4.9265685,8.475122
8500,0.2660577,4.9268327,8.475016
8601,0.26444152,4.928959,8.47383
8700,0.26744932,4.9300437,8.473104
8800,0.266089,4.931475,8.472313
8900,0.27051395,4.9321637,8.471771
9001,0.27152562,4.930603,8.472648
9100,0.2738301,4.9321203,8.471689
9200,0.2766291,4.928271,8.473839
9301,0.2739001,4.9272175,8.47454
9400,0.27042732,4.928317,8.474012
9500,0.26492578,4.9261208,8.475464
9600,0.26034665,4.928765,8.47407
9700,0.25584173,4.929697,8.473664
9803,0.25310498,4.93163,8.47262
9901,0.2517983,4.9338803,8.471349
10000,0.2504241,4.9315095,8.472772
10100,0.25104865,4.930234,8.473495
10201,0.2550215,4.9314594,8.472664
10300,0.25813407,4.932542,8.47194
10401,0.25708106,4.926508,8.475479
10500,0.25803778,4.9248576,8.476411
10600,0.2603307,4.924195,8.476727
10700,0.25895005,4.925496,8.476011
10800,0.2576954,4.9244113,8.47668
10901,0.25649363,4.9211783,8.478593
11000,0.25148016,4.922416,8.478027
11100,0.24948753,4.92085,8.478992
11200,0.24921969,4.9197736,8.479628
11301,0.24799979,4.919259,8.47996
11400,0.24630088,4.923545,8.477522
11501,0.2438225,4.923913,8.477381
11600,0.24401027,4.928539,8.474685
11701,0.2433524,4.931843,8.472782
11801,0.24008127,4.9311743,8.473266
11900,0.24410482,4.926537,8.475847
12000,0.24709947,4.927136,8.475412
12100,0.24608971,4.925444,8.476425
12201,0.24619287,4.9306164,8.4734125
12300,0.24738106,4.9333963,8.471763
12401,0.25095308,4.9340158,8.471297
12500,0.25096098,4.9362535,8.469992
12600,0.24856326,4.936792,8.4697485
12701,0.24483503,4.935335,8.470707
12801,0.24468291,4.9393654,8.468362
12900,0.24058804,4.937052,8.469825
13000,0.24216524,4.936566,8.470065
