Milliseconds,X,Y,Z,cos,headingAccuracy
0,0.189867,0.177806,0.697328,0.667883,246.0
101,0.189749,0.178193,0.697698,0.667427,246.0
200,0.190018,0.177928,0.697151,0.667992,246.0
300,0.1899,0.178227,0.69719,0.667905,246.0
400,0.189749,0.178457,0.697062,0.66802,246.0
500,0.189767,0.178567,0.697012,0.668038,246.0
600,0.189708,0.178599,0.696825,0.668241,246.0
701,0.18984,0.178798,0.696499,0.668491,246.0
802,0.189759,0.178659,0.696476,0.668575,246.0
900,0.189848,0.178757,0.696576,0.668419,246.0
1001,0.190104,0.178583,0.696292,0.668689,246.0
1100,0.190156,0.178326,0.69645,0.668578,246.0
1200,0.190134,0.178405,0.696506,0.668505,246.0
1300,0.190237,0.178533,0.696556,0.668389,246.0
1401,0.190322,0.178377,0.696361,0.668609,246.0
1500,0.190786,0.178894,0.695499,0.669237,246.0
1600,0.190861,0.178571,0.695144,0.66967,246.0
1700,0.190872,0.178517,0.695169,0.669655,246.0
1800,0.190622,0.178433,0.695454,0.669453,246.0
1901,0.190583,0.178413,0.695829,0.66908,246.0
2000,0.190479,0.178139,0.695998,0.669007,246.0
2100,0.190745,0.178474,0.695819,0.669027,246.0
2200,0.1908,0.178057,0.696022,0.668912,246.0
2300,0.19069,0.177893,0.69601,0.668999,246.0
2400,0.189964,0.178331,0.69634,0.668745,246.0
2500,0.189237,0.179057,0.696643,0.668442,246.0
2600,0.189244,0.17909,0.696852,0.668214,246.0
2700,0.189648,0.178718,0.696762,0.668293,246.0
2800,0.189709,0.178615,0.696617,0.668454,246.0
2901,0.189591,0.17845,0.697091,0.668036,246.0
3000,0.189202,0.178413,0.697406,0.667828,246.0
3100,0.188988,0.17848,0.697542,0.667729,246.0
3200,0.188679,0.178519,0.697719,0.667621,246.0
3301,0.188537,0.178539,0.698055,0.667305,246.0
3400,0.188435,0.178439,0.698423,0.666975,246.0
3500,0.188566,0.178446,0.698531,0.666822,246.0
3600,0.188723,0.178249,0.698703,0.66665,246.0
3700,0.188975,0.178236,0.698546,0.666747,246.0
3800,0.189106,0.178207,0.698599,0.666663,246.0
3902,0.18918,0.178031,0.698444,0.666851,246.0
4000,0.189192,0.178078,0.698488,0.666789,246.0
4100,0.189289,0.178041,0.698326,0.666941,246.0
4200,0.189367,0.178139,0.698087,0.667142,246.0
4301,0.189397,0.177992,0.698133,0.667125,246.0
4400,0.189455,0.177946,0.698194,0.667058,246.0
4500,0.189464,0.1779,0.698127,0.667138,246.0
4601,0.189453,0.177928,0.698065,0.667197,246.0
4700,0.189093,0.177507,0.698443,0.667017,246.0
4800,0.188739,0.177713,0.699179,0.666291,246.0
4900,0.188715,0.177801,0.699342,0.666102,246.0
5002,0.18873,0.177765,0.699494,0.665948,246.0
5100,0.189132,0.177547,0.699043,0.666365,246.0
5200,0.18902,0.177984,0.698641,0.666702,246.0
5304,0.189177,0.178229,0.698732,0.666497,246.0
5401,0.189467,0.178039,0.698225,0.666997,246.0
5500,0.189695,0.178092,0.697766,0.667398,246.0
5600,0.189712,0.177911,0.697771,0.667436,246.0
5700,0.189724,0.178025,0.697596,0.667585,246.0
5800,0.189668,0.178173,0.697398,0.667768,246.0
5901,0.189502,0.178223,0.697398,0.667802,246.0
6000,0.18942,0.178245,0.697468,0.667746,246.0
6102,0.189441,0.178872,0.697262,0.667788,246.0
6200,0.189618,0.178786,0.697153,0.667875,246.0
6300,0.189614,0.178743,0.696699,0.668361,246.0
6401,0.189616,0.178925,0.696586,0.668429,246.0
6500,0.189728,0.178709,0.696571,0.668471,246.0
6600,0.189735,0.178616,0.696592,0.668472,246.0
6701,0.189608,0.17856,0.696748,0.66836,246.0
6800,0.189559,0.178596,0.696803,0.668307,246.0
6900,0.189732,0.178419,0.69694,0.668163,246.0
7000,0.189727,0.178519,0.696996,0.668079,246.0
7101,0.189521,0.178535,0.69688,0.668254,246.0
7200,0.189605,0.178456,0.696955,0.668174,246.0
7301,0.189711,0.178419,0.696876,0.668236,246.0
7400,0.189773,0.178538,0.696898,0.668163,246.0
7500,0.189909,0.178414,0.696782,0.668279,246.0
7601,0.18995,0.178517,0.696643,0.668385,246.0
7700,0.189629,0.178281,0.696767,0.668409,246.0
7800,0.189592,0.178438,0.697058,0.668074,246.0
7900,0.189558,0.178279,0.697327,0.667846,246.0
8000,0.189842,0.178387,0.697294,0.667771,246.0
8101,0.190274,0.178211,0.697028,0.667973,246.0
8200,0.19024,0.178035,0.696988,0.668071,246.0
8321,0.190257,0.178075,0.696942,0.668103,246.0
8401,0.19025,0.178028,0.69692,0.668141,246.0
8500,0.19021,0.178086,0.696893,0.668165,246.0
8600,0.190279,0.178182,0.696695,0.668326,246.0
8701,0.190411,0.178145,0.696779,0.66821,246.0
8800,0.190498,0.178165,0.696455,0.668518,246.0
8901,0.19069,0.178037,0.696462,0.66849,246.0
9001,0.19067,0.177933,0.696467,0.668518,246.0
9100,0.190827,0.177902,0.696416,0.668534,246.0
9200,0.190729,0.177699,0.696655,0.668367,246.0
9303,0.190488,0.177794,0.696784,0.668277,246.0
9400,0.190493,0.177927,0.69666,0.668369,246.0
9500,0.190152,0.178072,0.696711,0.668374,246.0
9600,0.190106,0.178312,0.696652,0.668386,246.0
9701,0.190017,0.178485,0.69655,0.668471,246.0
9800,0.190018,0.178633,0.696421,0.668565,246.0
9900,0.190087,0.178741,0.696285,0.668658,246.0
10000,0.189963,0.17867,0.696228,0.668772,246.0
10100,0.189912,0.178621,0.696333,0.66869,246.0
10201,0.190108,0.178531,0.696334,0.668658,246.0
10300,0.190282,0.178449,0.696275,0.668692,246.0
10400,0.189965,0.178281,0.696484,0.668608,246.0
10500,0.189841,0.17828,0.696859,0.668253,246.0
10600,0.189838,0.178238,0.697107,0.668007,246.0
10700,0.189818,0.178251,0.697055,0.668063,246.0
10801,0.189723,0.178367,0.697191,0.667917,246.0
10901,0.189476,0.178316,0.697474,0.667705,246.0
11000,0.189359,0.178561,0.697393,0.667759,246.0
11100,0.18923,0.17856,0.697377,0.667811,246.0
11201,0.18912,0.178586,0.697603,0.6676,246.0
11300,0.18906,0.178602,0.697583,0.667633,246.0
11400,0.189177,0.178826,0.697489,0.667638,246.0
11501,0.189161,0.178863,0.697246,0.667887,246.0
11602,0.189407,0.178987,0.696986,0.668054,246.0
11700,0.18961,0.179043,0.696586,0.668399,246.0
11800,0.189493,0.179098,0.696466,0.668543,246.0
11901,0.189362,0.178869,0.696894,0.668195,246.0
12001,0.189512,0.178772,0.696842,0.668233,246.0
12100,0.189472,0.17867,0.696616,0.668507,246.0
12200,0.188851,0.179754,0.699644,0.665221,246.0
12301,0.188234,0.180633,0.702456,0.662189,246.0
12400,0.184149,0.18486,0.717649,0.645674,246.0
12500,0.182111,0.187046,0.724949,0.637414,246.0
12601,0.180914,0.188237,0.728741,0.633065,246.0
12700,0.180242,0.188751,0.73033,0.631271,246.0
12802,0.180361,0.188954,0.730369,0.631131,246.0
12900,0.180628,0.188501,0.728664,0.633156,246.0
13000,0.180888,0.188219,0.727945,0.633993,246.0
13100,0.181357,0.187613,0.726952,0.635177,246.0
13200,0.181707,0.186901,0.725845,0.636551,246.0
13301,0.182591,0.186142,0.723213,0.63951,246.0
13400,0.18349,0.184989,0.719871,0.643347,246.0
13500,0.184114,0.184546,0.717817,0.645586,246.0
13600,0.184551,0.184352,0.716331,0.647166,246.0
13700,0.18482,0.184129,0.715282,0.648312,246.0
13800,0.184922,0.183973,0.714124,0.649602,246.0
13901,0.184827,0.184256,0.71468,0.648938,246.0
14003,0.184705,0.184366,0.714586,0.649044,246.0
14101,0.184449,0.18449,0.71497,0.648659,246.0
14200,0.184548,0.184426,0.71492,0.648703,246.0
14300,0.184482,0.18427,0.715478,0.648151,246.0
14400,0.184394,0.184314,0.715808,0.647799,246.0
14500,0.184295,0.184399,0.715964,0.647631,246.0
14601,0.184351,0.184376,0.716253,0.647302,246.0
14700,0.184492,0.184303,0.715998,0.647565,246.0
14800,0.184514,0.184176,0.716259,0.647306,246.0
14903,0.184756,0.184205,0.715915,0.647609,246.0
15000,0.184874,0.184053,0.716025,0.647497,246.0
15100,0.185074,0.18394,0.715908,0.647601,246.0
15200,0.185205,0.184063,0.715694,0.647766,246.0
15300,0.185258,0.18408,0.715348,0.648128,246.0
15400,0.184856,0.184491,0.71532,0.648156,246.0
15500,0.184826,0.18478,0.715208,0.648207,246.0
15601,0.184727,0.184756,0.715101,0.64836,246.0
15701,0.184698,0.184707,0.715159,0.648318,246.0
15800,0.184904,0.184714,0.715103,0.648319,246.0
15901,0.184831,0.184467,0.715214,0.648288,246.0
16000,0.184962,0.184224,0.715537,0.647963,246.0
16100,0.184853,0.184141,0.715641,0.647903,246.0
16201,0.185119,0.183956,0.715864,0.647633,246.0
16300,0.185116,0.183875,0.715703,0.647835,246.0
16401,0.184886,0.183802,0.716028,0.647562,246.0
16500,0.184501,0.183906,0.716229,0.647419,246.0
16600,0.184658,0.183985,0.716254,0.647324,246.0
16702,0.184734,0.184012,0.716182,0.647375,246.0
16800,0.184852,0.184177,0.715981,0.647517,246.0
16900,0.184606,0.184085,0.716169,0.647406,246.0
17001,0.184664,0.184113,0.716333,0.647199,246.0
17100,0.184787,0.184164,0.716139,0.647364,246.0
17200,0.185052,0.183946,0.715857,0.647662,246.0
17300,0.184881,0.184135,0.715858,0.647656,246.0
17402,0.185061,0.183914,0.716195,0.647295,246.0
17501,0.185072,0.184003,0.715969,0.647516,246.0
17600,0.184878,0.184082,0.71582,0.647715,246.0
17700,0.185069,0.184269,0.71561,0.647839,246.0
17800,0.185137,0.184075,0.715648,0.647832,246.0
17902,0.185305,0.183952,0.715529,0.647952,246.0
18000,0.185427,0.183917,0.715439,0.648025,246.0
18100,0.185449,0.184095,0.715179,0.648255,246.0
18204,0.185355,0.183926,0.715259,0.648242,246.0
18301,0.185375,0.184039,0.715332,0.648124,246.0
18401,0.185261,0.184145,0.715384,0.648069,246.0
18500,0.185081,0.184464,0.715386,0.648027,246.0
18600,0.185071,0.184522,0.715056,0.648377,246.0
18700,0.184995,0.184696,0.714951,0.648465,246.0
18802,0.184935,0.184612,0.715087,0.648357,246.0
18900,0.184718,0.184727,0.715202,0.648259,246.0
19000,0.184615,0.184651,0.715291,0.648211,246.0
19100,0.184633,0.184713,0.715076,0.648426,246.0
19201,0.184359,0.185106,0.715028,0.648445,246.0
19301,0.184196,0.184857,0.715267,0.648299,246.0
19400,0.184235,0.184923,0.715396,0.648126,246.0
19500,0.184064,0.184989,0.715558,0.647977,246.0
19601,0.184169,0.185083,0.715604,0.64787,246.0
19702,0.183989,0.184913,0.715646,0.647923,246.0
19801,0.184355,0.185069,0.715442,0.648,246.0
19900,0.184485,0.185325,0.714991,0.648387,246.0
20001,0.184502,0.185204,0.714704,0.648734,246.0
20100,0.18445,0.185103,0.714901,0.64856,246.0
20201,0.184684,0.18495,0.714975,0.648456,246.0
20300,0.184866,0.184899,0.714875,0.648528,246.0
20400,0.184982,0.184772,0.71478,0.648636,246.0
20500,0.184941,0.184752,0.714619,0.648831,246.0
20603,0.184717,0.184864,0.715068,0.648368,246.0
20700,0.184584,0.184707,0.715411,0.648072,246.0
20800,0.184738,0.184866,0.715647,0.647722,246.0
20901,0.185022,0.184426,0.716327,0.647014,246.0
21001,0.18597,0.182947,0.717559,0.645796,246.0
21100,0.187762,0.180494,0.718913,0.64446,246.0
21201,0.192396,0.17661,0.719629,0.64337,246.0
21300,0.190135,0.179504,0.722217,0.640335,246.0
21400,0.179617,0.187931,0.727718,0.634701,246.0
21500,0.170445,0.196423,0.729476,0.632637,246.0
21601,0.161595,0.204986,0.731602,0.629782,246.0
21700,0.150525,0.214837,0.732183,0.628565,246.0
21800,0.130312,0.232854,0.727188,0.63245,246.0
21901,0.117109,0.245415,0.724401,0.633481,246.0
22001,0.114344,0.246424,0.725521,0.632312,246.0
22101,0.117299,0.243175,0.730815,0.626909,246.0
22200,0.121714,0.237538,0.736408,0.621661,246.0
22300,0.129303,0.231686,0.737538,0.620997,246.0
22400,0.134305,0.227266,0.737718,0.621356,246.0
22500,0.141977,0.219679,0.738105,0.621919,246.0
22601,0.153974,0.209933,0.741402,0.618499,246.0
22700,0.164658,0.2014,0.746161,0.612836,246.0
22800,0.174365,0.191127,0.747896,0.611324,246.0
22900,0.184717,0.179515,0.749664,0.609637,246.0
23000,0.201479,0.172002,0.751338,0.604409,246.0
23107,0.205844,0.165684,0.750399,0.605868,246.0
23200,0.209238,0.163069,0.747889,0.608513,246.0
23302,0.210111,0.160586,0.746339,0.610771,246.0
23400,0.209013,0.159117,0.748927,0.60836,246.0
23501,0.211793,0.158727,0.749748,0.606486,246.0
23600,0.212018,0.155862,0.752201,0.604109,246.0
23700,0.214154,0.15326,0.7599,0.594306,246.0
23800,0.217029,0.148496,0.77431,0.575577,246.0
23901,0.217907,0.143034,0.793318,0.550184,246.0
24000,0.220943,0.137077,0.803137,0.536062,246.0
24100,0.224996,0.131963,0.801061,0.53876,246.0
24200,0.228956,0.127413,0.796026,0.545606,246.0
24301,0.22684,0.131568,0.788534,0.556279,246.0
24401,0.221991,0.134543,0.789458,0.556212,246.0
24500,0.212021,0.138645,0.792789,0.554354,246.0
24600,0.210977,0.141134,0.794155,0.552166,246.0
24702,0.209871,0.142855,0.793758,0.552714,246.0
24800,0.210198,0.144693,0.794246,0.55141,246.0
24900,0.210922,0.141761,0.797438,0.547272,246.0
25000,0.230436,0.135215,0.797699,0.54064,246.0
25101,0.216731,0.137531,0.796946,0.546798,246.0
25200,0.216884,0.138165,0.798592,0.544171,246.0
25300,0.217308,0.13805,0.798434,0.544262,246.0
25401,0.218041,0.135968,0.795953,0.548114,246.0
25500,0.218122,0.136002,0.79619,0.547729,246.0
25601,0.218107,0.136409,0.795998,0.547913,246.0
25700,0.2189,0.135702,0.796419,0.547159,246.0
25800,0.218647,0.135631,0.798348,0.544461,246.0
25900,0.217462,0.135929,0.797391,0.54626,246.0
26000,0.216112,0.134674,0.798601,0.545338,246.0
26102,0.217953,0.134607,0.799769,0.542905,246.0
26200,0.219018,0.135043,0.801761,0.539418,246.0
26300,0.21607,0.136239,0.806136,0.533757,246.0
26401,0.209068,0.140109,0.813326,0.524556,246.0
26500,0.210313,0.138565,0.807759,0.533003,246.0
26600,0.218506,0.138289,0.807932,0.529506,246.0
26700,0.217328,0.142296,0.81759,0.513873,246.0
26800,0.211146,0.148958,0.83498,0.485835,246.0
26900,0.213913,0.153762,0.832797,0.486873,246.0
27001,0.217583,0.163473,0.830615,0.48581,246.0
27100,0.216427,0.177501,0.839848,0.465088,246.0
27200,0.211117,0.181687,0.855357,0.436786,246.0
27301,0.218233,0.172311,0.862501,0.422817,246.0
27400,0.229666,0.180066,0.843681,0.450589,246.0
27500,0.224502,0.195079,0.831339,0.469486,246.0
27600,0.22707,0.204696,0.810138,0.500214,246.0
27700,0.222343,0.20534,0.797815,0.52143,246.0
27801,0.212205,0.199703,0.792932,0.535112,246.0
27900,0.201958,0.19905,0.795103,0.536099,246.0
28001,0.191282,0.194013,0.803623,0.529111,246.0
28100,0.185913,0.203319,0.796822,0.537746,246.0
28200,0.190554,0.213816,0.778924,0.557896,246.0
28300,0.20035,0.214326,0.750827,0.591761,246.0
28401,0.200101,0.209978,0.712559,0.638848,246.0
28500,0.179506,0.20805,0.710384,0.647955,246.0
28600,0.166348,0.204277,0.743794,0.614303,246.0
28700,0.165711,0.209155,0.77621,0.571218,246.0
28800,0.166689,0.214859,0.803323,0.52983,246.0
28900,0.166039,0.215194,0.820761,0.502466,246.0
29001,0.164861,0.217631,0.831418,0.483941,246.0
29100,0.167031,0.224723,0.833712,0.475944,246.0
29200,0.16757,0.228502,0.83865,0.465158,246.0
29300,0.164303,0.229823,0.845862,0.452439,246.0
29401,0.161648,0.232088,0.85292,0.438783,246.0
29500,0.157009,0.233597,0.863992,0.417488,246.0
29600,0.149859,0.231491,0.880824,0.384839,246.0
29700,0.146875,0.23559,0.88897,0.364219,246.0
29801,0.148167,0.240028,0.889938,0.358387,246.0
29900,0.146523,0.236063,0.891879,0.35687,246.0
30000,0.145217,0.241595,0.883931,0.373106,246.0
30101,0.154672,0.244632,0.86369,0.412638,246.0
30200,0.154168,0.238842,0.839671,0.462749,246.0
30301,0.151954,0.243025,0.812917,0.506964,246.0
30401,0.152352,0.246038,0.788223,0.543099,246.0
30501,0.154679,0.245994,0.773576,0.563151,246.0
30601,0.160714,0.256282,0.770236,0.561449,246.0
30701,0.161836,0.260548,0.774024,0.553904,246.0
30800,0.165644,0.256822,0.789063,0.5329,246.0
30900,0.167258,0.252881,0.798673,0.519804,246.0
31001,0.167856,0.248761,0.801553,0.51716,246.0
31100,0.164451,0.240236,0.804152,0.518247,246.0
31200,0.160519,0.234128,0.796262,0.534212,246.0
31301,0.159652,0.232651,0.780827,0.557398,246.0
31400,0.1563,0.23037,0.775039,0.567286,246.0
31500,0.154893,0.229707,0.780767,0.560039,246.0
31600,0.1525,0.22851,0.794228,0.541967,246.0
31701,0.152169,0.22867,0.814542,0.510955,246.0
31800,0.153691,0.229866,0.828191,0.487482,246.0
