2018-05-18 16:08:38.779 	2019
2018-05-18 16:08:38.970 	2019
2018-05-18 16:08:39.214 	2019
2018-05-18 16:08:39.311 	2019
2018-05-18 16:08:39.409 	2019
2018-05-18 16:08:39.507 	2019
2018-05-18 16:08:39.604 	2020
2018-05-18 16:08:39.701 	2020
2018-05-18 16:08:39.799 	2019
2018-05-18 16:08:39.896 	2019
2018-05-18 16:08:39.994 	2020
2018-05-18 16:08:40.091 	2020
2018-05-18 16:08:40.189 	2020
2018-05-18 16:08:40.287 	2020
2018-05-18 16:08:40.385 	2020
2018-05-18 16:08:40.483 	2019
2018-05-18 16:08:40.579 	2020
2018-05-18 16:08:40.676 	2020
2018-05-18 16:08:40.774 	2019
2018-05-18 16:08:40.920 	2019
2018-05-18 16:08:41.017 	2020
2018-05-18 16:08:41.117 	2019
2018-05-18 16:08:41.213 	2019
2018-05-18 16:08:41.311 	2019
2018-05-18 16:08:41.408 	2019
2018-05-18 16:08:41.505 	2020
2018-05-18 16:08:41.602 	2020
2018-05-18 16:08:41.700 	2019
2018-05-18 16:08:41.797 	2020
2018-05-18 16:08:41.895 	2020
2018-05-18 16:08:41.992 	2020
2018-05-18 16:08:42.090 	2019
2018-05-18 16:08:42.188 	2019
2018-05-18 16:08:42.286 	2020
2018-05-18 16:08:42.383 	2019
2018-05-18 16:08:42.578 	2020
2018-05-18 16:08:42.675 	2020
2018-05-18 16:08:42.842 	2020
2018-05-18 16:08:42.922 	2020
2018-05-18 16:08:43.020 	2020
2018-05-18 16:08:43.117 	2019
2018-05-18 16:08:43.214 	2019
2018-05-18 16:08:43.449 	2020
2018-05-18 16:08:43.468 	2019
2018-05-18 16:08:43.510 	2019
2018-05-18 16:08:43.605 	2020
2018-05-18 16:08:43.703 	2020
2018-05-18 16:08:43.799 	2019
2018-05-18 16:08:43.897 	2019
2018-05-18 16:08:44.001 	2019
2018-05-18 16:08:44.093 	2019
2018-05-18 16:08:44.189 	2020
2018-05-18 16:08:44.336 	2020
2018-05-18 16:08:44.383 	2019
2018-05-18 16:08:44.504 	2019
2018-05-18 16:08:44.586 	2020
2018-05-18 16:08:44.733 	0
2018-05-18 16:08:44.826 	2019
2018-05-18 16:08:44.923 	2019
2018-05-18 16:08:45.025 	2019
2018-05-18 16:08:45.116 	2019
2018-05-18 16:08:45.213 	2019
2018-05-18 16:08:45.313 	2019
2018-05-18 16:08:45.416 	2019
2018-05-18 16:08:45.511 	2019
2018-05-18 16:08:45.603 	2019
2018-05-18 16:08:45.707 	2019
2018-05-18 16:08:45.805 	2019
2018-05-18 16:08:45.902 	2019
2018-05-18 16:08:46.001 	2019
2018-05-18 16:08:46.093 	2019
2018-05-18 16:08:46.190 	2019
2018-05-18 16:08:46.343 	2019
2018-05-18 16:08:46.440 	2019
2018-05-18 16:08:46.501 	2019
2018-05-18 16:08:46.725 	2019
2018-05-18 16:08:46.829 	2019
2018-05-18 16:08:46.926 	2019
2018-05-18 16:08:47.025 	2019
2018-05-18 16:08:47.115 	2019
2018-05-18 16:08:47.211 	2019
2018-05-18 16:08:47.316 	2019
