Milliseconds,X,Y,Z,cos,headingAccuracy
10601,-0.178221,-0.501315,-0.379003,0.75715,246.0
10701,-0.17823,-0.50119,-0.379007,0.757228,246.0
10802,-0.177985,-0.501241,-0.378998,0.757256,246.0
10901,-0.177939,-0.501135,-0.379049,0.757312,246.0
11001,-0.178136,-0.501023,-0.379142,0.757293,246.0
11101,-0.178168,-0.50112,-0.378923,0.757331,246.0
11201,-0.178219,-0.501283,-0.379097,0.757124,246.0
11302,-0.178369,-0.501631,-0.378925,0.756945,246.0
11401,-0.178272,-0.501559,-0.378898,0.757028,246.0
11501,-0.178202,-0.501481,-0.378739,0.757177,246.0
11602,-0.178262,-0.501365,-0.378774,0.757221,246.0
11702,-0.178191,-0.501473,-0.378741,0.757183,246.0
11801,-0.178542,-0.501157,-0.378599,0.757381,246.0
11902,-0.179,-0.500855,-0.378658,0.757443,246.0
12001,-0.179284,-0.500659,-0.379008,0.75733,246.0
12102,-0.179062,-0.50069,-0.379315,0.757209,246.0
12201,-0.178641,-0.50099,-0.379179,0.757177,246.0
12303,-0.178561,-0.500996,-0.378921,0.757322,246.0
12401,-0.178647,-0.50111,-0.378673,0.75735,246.0
12502,-0.179069,-0.500754,-0.37878,0.757432,246.0
12601,-0.179213,-0.500937,-0.379073,0.75713,246.0
12702,-0.179013,-0.501217,-0.379364,0.756847,246.0
12802,-0.178334,-0.501513,-0.379436,0.756775,246.0
12902,-0.177302,-0.502299,-0.379324,0.756552,246.0
13001,-0.176562,-0.502692,-0.378937,0.756658,246.0
13102,-0.17617,-0.502952,-0.378585,0.756753,246.0
13201,-0.176115,-0.502873,-0.378296,0.756963,246.0
13301,-0.176354,-0.502652,-0.378235,0.757085,246.0
13401,-0.176897,-0.502393,-0.378196,0.757149,246.0
13502,-0.177235,-0.502271,-0.37832,0.757089,246.0
13601,-0.177283,-0.502257,-0.378561,0.756967,246.0
13702,-0.177101,-0.502377,-0.378668,0.756876,246.0
13801,-0.176789,-0.502408,-0.378638,0.756944,246.0
13901,-0.176928,-0.5024,-0.378483,0.756994,246.0
14002,-0.177118,-0.502563,-0.378315,0.756925,246.0
14102,-0.177192,-0.502392,-0.3781,0.757129,246.0
14201,-0.17716,-0.502502,-0.378186,0.757021,246.0
14301,-0.176953,-0.502452,-0.378448,0.756971,246.0
14402,-0.177026,-0.502439,-0.378436,0.756969,246.0
14501,-0.176908,-0.502279,-0.378573,0.757034,246.0
14601,-0.176986,-0.502389,-0.378567,0.756946,246.0
14703,-0.176919,-0.502463,-0.378692,0.75685,246.0
14801,-0.176827,-0.502663,-0.378466,0.756851,246.0
14902,-0.176675,-0.50254,-0.378571,0.756916,246.0
15001,-0.176617,-0.50273,-0.37839,0.756894,246.0
15101,-0.17672,-0.502638,-0.37833,0.756961,246.0
15202,-0.17675,-0.502692,-0.378331,0.756918,246.0
15301,-0.176762,-0.502707,-0.378404,0.756868,246.0
15401,-0.176419,-0.502991,-0.378269,0.756827,246.0
15502,-0.176279,-0.502928,-0.378134,0.756969,246.0
15601,-0.176285,-0.502997,-0.378086,0.756946,246.0
15701,-0.176412,-0.50297,-0.37808,0.756937,246.0
15801,-0.176447,-0.50295,-0.378028,0.756968,246.0
15902,-0.176349,-0.502917,-0.378079,0.756988,246.0
16001,-0.176574,-0.502964,-0.378131,0.756878,246.0
16101,-0.176649,-0.502794,-0.378251,0.756913,246.0
16202,-0.17667,-0.502846,-0.378063,0.756968,246.0
16301,-0.176545,-0.502902,-0.378072,0.756955,246.0
16401,-0.176617,-0.503033,-0.378048,0.756863,246.0
16501,-0.176675,-0.503014,-0.377933,0.75692,246.0
16602,-0.176501,-0.502912,-0.377955,0.757017,246.0
16701,-0.176554,-0.502734,-0.378049,0.757076,246.0
16801,-0.176891,-0.502409,-0.378338,0.757069,246.0
16901,-0.176936,-0.502677,-0.378394,0.756852,246.0
17002,-0.177057,-0.502781,-0.378413,0.756746,246.0
17101,-0.176886,-0.502762,-0.378387,0.756811,246.0
17201,-0.177016,-0.502731,-0.378357,0.756816,246.0
17301,-0.177072,-0.502726,-0.378157,0.756907,246.0
17401,-0.177275,-0.502699,-0.378293,0.756809,246.0
17503,-0.177426,-0.502956,-0.378448,0.756525,246.0
17601,-0.177408,-0.503096,-0.37823,0.756546,246.0
17701,-0.177138,-0.503239,-0.377933,0.756662,246.0
17801,-0.176676,-0.503092,-0.378055,0.756807,246.0
17902,-0.176745,-0.503076,-0.377952,0.756853,246.0
18001,-0.176835,-0.502952,-0.377984,0.756898,246.0
18101,-0.17704,-0.50307,-0.378121,0.756703,246.0
18203,-0.17663,-0.503257,-0.378116,0.756678,246.0
18301,-0.176485,-0.503486,-0.378137,0.756549,246.0
18402,-0.176238,-0.503435,-0.377991,0.756713,246.0
18501,-0.176338,-0.503313,-0.378051,0.756741,246.0
18601,-0.176485,-0.503311,-0.378001,0.756733,246.0
18701,-0.176491,-0.503147,-0.378173,0.756755,246.0
18802,-0.176836,-0.502966,-0.378137,0.756812,246.0
18901,-0.177024,-0.502662,-0.378268,0.756905,246.0
19001,-0.177313,-0.502673,-0.378267,0.75683,246.0
19102,-0.177342,-0.502797,-0.377971,0.756889,246.0
19201,-0.177461,-0.502534,-0.377953,0.757045,246.0
19304,-0.177698,-0.502483,-0.377978,0.757011,246.0
19401,-0.177904,-0.502378,-0.378099,0.756971,246.0
19501,-0.177789,-0.502562,-0.378306,0.756773,246.0
19601,-0.177589,-0.502555,-0.37838,0.756787,246.0
19701,-0.177594,-0.502729,-0.378197,0.756762,246.0
19802,-0.177618,-0.50267,-0.378202,0.756793,246.0
19901,-0.17738,-0.502747,-0.378196,0.756801,246.0
20002,-0.177398,-0.502721,-0.378193,0.756816,246.0
20101,-0.177358,-0.502746,-0.378285,0.756762,246.0
20202,-0.17746,-0.502714,-0.378284,0.75676,246.0
20301,-0.177399,-0.502686,-0.378088,0.756892,246.0
20401,-0.177643,-0.502498,-0.378109,0.756948,246.0
20502,-0.177721,-0.502405,-0.378283,0.756905,246.0
20601,-0.177726,-0.502283,-0.378344,0.756954,246.0
20701,-0.177553,-0.502321,-0.378345,0.756969,246.0
20801,-0.17746,-0.502322,-0.378483,0.756921,246.0
20901,-0.177622,-0.502339,-0.37844,0.756893,246.0
21002,-0.177506,-0.502324,-0.378241,0.75703,246.0
21101,-0.177717,-0.502194,-0.378318,0.757028,246.0
21201,-0.17769,-0.502167,-0.378429,0.756997,246.0
21301,-0.177571,-0.502225,-0.378327,0.757038,246.0
21401,-0.17737,-0.502204,-0.37839,0.757067,246.0
21502,-0.177459,-0.502185,-0.378366,0.757071,246.0
21601,-0.177668,-0.502263,-0.378515,0.756896,246.0
21701,-0.177624,-0.502154,-0.378322,0.757075,246.0
21801,-0.177471,-0.501904,-0.378565,0.757155,246.0
21901,-0.177701,-0.502014,-0.378544,0.757038,246.0
22002,-0.177631,-0.502165,-0.378466,0.756994,246.0
22101,-0.177724,-0.501923,-0.378622,0.757055,246.0
22201,-0.177409,-0.502023,-0.378542,0.757101,246.0
22302,-0.177368,-0.501865,-0.378702,0.757136,246.0
22401,-0.177619,-0.501693,-0.378817,0.757134,246.0
22502,-0.17703,-0.501722,-0.379193,0.757064,246.0
22601,-0.176688,-0.501829,-0.378967,0.757187,246.0
22701,-0.176793,-0.501911,-0.378778,0.757202,246.0
22801,-0.176817,-0.501853,-0.37886,0.757194,246.0
22902,-0.176614,-0.501948,-0.378938,0.75714,246.0
23002,-0.176499,-0.50214,-0.379036,0.75699,246.0
23101,-0.176265,-0.50232,-0.378966,0.75696,246.0
23201,-0.175856,-0.502585,-0.379019,0.756852,246.0
23301,-0.175549,-0.5027,-0.378431,0.757141,246.0
23402,-0.175934,-0.502289,-0.37811,0.757485,246.0
23501,-0.176548,-0.501861,-0.37824,0.757562,246.0
23602,-0.177378,-0.501345,-0.378322,0.757668,246.0
23701,-0.1778,-0.501243,-0.378869,0.757363,246.0
23801,-0.17786,-0.501322,-0.378969,0.757247,246.0
23901,-0.177666,-0.501448,-0.379207,0.75709,246.0
24002,-0.177393,-0.5015,-0.379046,0.7572,246.0
24101,-0.1773,-0.501463,-0.379004,0.757267,246.0
24202,-0.177485,-0.501384,-0.378861,0.757348,246.0
24301,-0.177797,-0.501214,-0.378974,0.757331,246.0
24402,-0.17761,-0.501317,-0.379089,0.757249,246.0
24501,-0.177312,-0.501309,-0.379123,0.757307,246.0
24601,-0.17747,-0.501257,-0.379077,0.757328,246.0
24702,-0.177625,-0.5013,-0.379084,0.757259,246.0
24801,-0.177561,-0.50134,-0.379025,0.757277,246.0
24902,-0.177724,-0.501402,-0.378963,0.757229,246.0
25001,-0.177702,-0.501436,-0.379055,0.757165,246.0
25102,-0.177814,-0.50118,-0.379038,0.757317,246.0
25201,-0.17804,-0.501138,-0.37903,0.757296,246.0
25302,-0.178065,-0.501197,-0.378998,0.757267,246.0
25401,-0.178091,-0.501249,-0.379035,0.757208,246.0
25501,-0.178278,-0.501309,-0.378854,0.757215,246.0
25602,-0.178365,-0.501245,-0.378871,0.757228,246.0
25701,-0.178266,-0.50132,-0.378827,0.757224,246.0
25801,-0.178502,-0.501424,-0.378742,0.757142,246.0
25902,-0.178567,-0.501346,-0.378705,0.757197,246.0
26001,-0.178495,-0.501338,-0.378775,0.757184,246.0
